question,answer,baseline,L6-P4,L6-P6,L8-P4,L8-P6,L10-P4,L10-P6,L12-P4,L14-P4,L16-P4,L18-P4,L20-P4,L22-P4,L24-P4,L26-P4,L28-P4,L30-P4
What is the capital of France?,"['Paris', 'City of Light', 'Paris, France']",The capital of France is Paris!,The capital of France is Paris.,The capital of France is Paris.,The capital of France is Paris.,The capital of France is Paris.,The capital of France is Paris!,The capital of France is Paris.,The capital of France is Paris!,The capital of France is Paris!,The capital of France is Paris.,The capital of France is Paris.,The capital of France is Paris.,The capital of France is Paris.,The capital of France is Paris.,The capital of France is Paris.,The capital of France is Paris.,The capital of France is Paris.
What is the capital of Uttar Pradesh?,"['Lucknow', 'The City of Nawabs', 'The Golden City of India', 'Constantinople of East', 'Shiraz-i-Hind']",The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.,The capital of Uttar Pradesh is Lucknow.
What is the capital of Turkey?,"['Ankara', 'Ancyra', 'Angora', 'Ancara']",The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.,The capital of Turkey is Ankara.
What is Mike Flanagan's occupation?,"['screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter']","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work on horror films and TV series, such as ""The Haunting of Hill House"" and ""Midnight Mass"".","Mike Flanagan is a film and television director, screenwriter, and producer.","Mike Flanagan is a film director, screenwriter, and producer, best known for his work in the horror genre.","Mike Flanagan is a film and television director, screenwriter, and producer.","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work on horror films and TV series, such as ""The Haunting of Hill House"" and ""Midnight Mass"".","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work on horror films, such as ""Oculus"", ""Hush"", and ""The Haunting of Hill House"".","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work on horror films, including ""Oculus"", ""Hush"", and ""The Haunting of Hill House"".","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work on horror films, including ""Oculus"", ""Hush"", ""Before I Wake"", and ""The Haunting of Hill House"".","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work in the horror genre, having directed films such as ""Oculus"", ""Hush"", ""Before I Wake"", ""Gerald's Game"", ""Doctor Sleep"", and ""Midnight Mass"".","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work on horror films, including ""Oculus"", ""Hush"", ""Before I Wake"", ""Ouija: Origin of Evil"", ""Gerald's Game"", ""Doctor Sleep"", and ""Midnight Mass"".","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work in the horror genre.","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work in the horror genre.","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work on horror films, including ""Absentia"", ""Oculus"", ""Hush"", ""Before I Wake"", and ""Doctor Sleep"".","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work on horror films, such as ""Oculus"", ""Hush"", ""Before I Wake"", ""Gerald's Game"", ""Halloween"" (2018), ""Doctor Sleep"", and ""Midnight Mass"".","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work on horror films, including ""Oculus"", ""Hush"", ""Before I Wake"", ""Gerald's Game"", ""Doctor Sleep"", and ""Midnight Mass"".","Mike Flanagan is a film director, screenwriter, and producer. He is known for his work on horror films, including ""Oculus"", ""Hush"", ""Before I Wake"", ""Gerald's Game"", ""Doctor Sleep"", and ""Midnight Mass"".","Mike Flanagan is a film director, screenwriter, and producer."
What is the capital of United Arab Emirates?,"['Abu Dhabi', 'Abū Dhabi', 'Abudhabi']",The capital of the United Arab Emirates is Abu Dhabi.,The capital of the United Arab Emirates is Abu Dhabi.,The capital of the United Arab Emirates is Abu Dhabi.,The capital of the United Arab Emirates is Abu Dhabi.,The capital of the United Arab Emirates is Abu Dhabi.,The capital of the United Arab Emirates is Abu Dhabi.,The capital of the United Arab Emirates (UAE) is Abu Dhabi.,The capital of the United Arab Emirates is Abu Dhabi.,The capital of the United Arab Emirates (UAE) is Abu Dhabi.,The capital of the United Arab Emirates (UAE) is Abu Dhabi.,The capital of the United Arab Emirates (UAE) is Abu Dhabi.,The capital of the United Arab Emirates (UAE) is Abu Dhabi.,The capital of the United Arab Emirates (UAE) is Abu Dhabi.,The capital of the United Arab Emirates (UAE) is Abu Dhabi.,The capital of the United Arab Emirates (UAE) is Abu Dhabi.,The capital of the United Arab Emirates (UAE) is Abu Dhabi.,The capital of the United Arab Emirates is Abu Dhabi.
What is the capital of England?,"['London', 'London, UK', 'London, United Kingdom', 'London, England', 'Modern Babylon']",The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.,The capital of England is London.
Who was the producer of Game of Thrones?,"['David Benioff', 'David Friedman']","The producers of Game of Thrones were:

* David Benioff (executive producer)
* D.B. Weiss (executive producer)
* Carolyn Strauss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Bryan Cogman (co-executive producer)
* Guymon Casady (co-executive producer)

Note: The producers' credits varied across the seasons, but the above list","The producers of Game of Thrones were:

* David Benioff (executive producer)
* D.B. Weiss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Bryan Cogman (co-executive producer)
* Vince Gerardis (co-executive producer)

Note: The producers' roles and credits may have changed over the course of the show.",The producers of Game of Thrones were David Benioff and D. B. Weiss. They were the showrunners and executive producers of the series.,The producers of Game of Thrones were David Benioff and D.B. Weiss. They were the showrunners and executive producers of the series.,The producers of Game of Thrones were David Benioff and D.B. Weiss. They were the showrunners and executive producers of the series.,"The producers of Game of Thrones were:

* David Benioff (executive producer)
* D. B. Weiss (executive producer)
* Carolyn Strauss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Bryan Cogman (co-executive producer)
* Vince Gerardis (co-executive producer)

Note: The producers' roles and credits varied across the show's eight seasons.",The producers of Game of Thrones were David Benioff and D.B. Weiss. They were the showrunners and executive producers of the series.,"The producers of Game of Thrones were:

* David Benioff (executive producer)
* D.B. Weiss (executive producer)
* Carolyn Strauss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Bryan Cogman (co-executive producer)
* Guymon Casady (co-executive producer)

Note: The producers' roles and credits varied across the show's eight seasons","The producers of Game of Thrones were:

* David Benioff (executive producer)
* D.B. Weiss (executive producer)
* Carolyn Strauss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Bryan Cogman (co-executive producer)
* Vince Gerardis (co-executive producer)

Note: The producers' roles and credits changed over the course of the show. The","The producers of Game of Thrones were:

* David Benioff (executive producer)
* D.B. Weiss (executive producer)
* Carolyn Strauss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Bryan Cogman (co-executive producer)
* Guymon Casady (co-executive producer)

Note: The list of producers may vary depending on the season or episode.","The producers of Game of Thrones were:

* David Benioff (executive producer)
* D.B. Weiss (executive producer)
* Carolyn Strauss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Bryan Cogman (co-executive producer)
* Guymon Casady (co-executive producer)

Note: The above list includes the main producers of the show, but there","The producers of Game of Thrones were:

* David Benioff (executive producer)
* D.B. Weiss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Vince Gerardis (co-executive producer)

Note: The show had a large team of producers, but the above list includes the main executive producers.","The producers of Game of Thrones were:

* David Benioff (executive producer)
* D.B. Weiss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Bryan Cogman (co-executive producer)
* George R.R. Martin (co-executive producer)

Note: The above list includes the main producers of the show, but there were many other producers, writers, and","The producers of Game of Thrones were:

* David Benioff (executive producer)
* D.B. Weiss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Bryan Cogman (co-executive producer)
* George R.R. Martin (co-executive producer)

Note: The above list includes the main producers of the show, but there were many other producers, writers, and","The producers of Game of Thrones were:

* David Benioff (executive producer)
* D.B. Weiss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Bryan Cogman (co-executive producer)
* Guymon Casady (co-executive producer)

Note: The above list includes the main producers of the show, but there were many other producers, writers, and","The producers of Game of Thrones were:

* David Benioff (executive producer)
* D.B. Weiss (executive producer)
* Carolyn Strauss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Bryan Cogman (co-executive producer)

Note: The list of producers may vary depending on the season or episode.","The producers of Game of Thrones were:

* David Benioff (executive producer)
* D.B. Weiss (executive producer)
* Carolyn Strauss (executive producer)
* Frank Doelger (executive producer)
* Bernadette Caulfield (co-executive producer)
* Bryan Cogman (co-executive producer)
* Guymon Casady (co-executive producer)
* Vince Gerardis (casting director and co-executive producer)

Note:"
What genre is The Rolling Stones?,"['rock music', 'rock and roll', 'rock', 'Rock', 'blues rock', 'Blues Rock', 'psychedelic rock', 'acid rock', 'psy rock', 'psyrock', 'psychedelia', 'rhythm and blues', 'R&B', 'RnB', 'RNB', 'R and B', 'R & B', 'country rock', 'Country Rock', 'rock and roll', ""rock 'n roll"", ""rock 'n' roll"", ""rock n' roll"", 'rock & roll', 'rock&roll', 'hard rock', 'country music', 'country and western', 'country & western', 'country', 'Nashville sound', 'blues', 'blues music']","The Rolling Stones are a British rock band, and their music genre is primarily Rock and Roll, with influences from Blues, Rhythm and Blues, and Psychedelic Rock.","The Rolling Stones are a British rock band that is often classified under the genres of:

* Rock and roll
* Blues rock
* Hard rock
* Classic rock

However, their music has evolved over the years, incorporating elements from various genres, such as:

* Rhythm and blues
* Soul
* Funk
* Reggae
* Country rock

The Rolling Stones' music is known for its eclecticism, blending different styles and genres to create a unique sound","The Rolling Stones are a British rock band, and their music genre is primarily Rock and Roll, with influences from Blues, Rhythm and Blues, and Psychedelic Rock.","The Rolling Stones are a British rock band, and their music genre is primarily Rock and Roll, with influences from Blues, Rhythm and Blues, and Psychedelic Rock.","The Rolling Stones are a British rock band, and their music genre is primarily Rock and Roll, with influences from Blues, Rhythm and Blues, and Folk Rock.","The Rolling Stones are a British rock band, and their music genre is primarily Rock and Roll, with influences from Blues, Rhythm and Blues, and Psychedelic Rock.","The Rolling Stones are a British rock band, and their music genre is primarily Rock and Roll, with influences from Blues, Rhythm and Blues, and Folk Rock.","The Rolling Stones are a British rock band, and their music genre is primarily Rock and Roll, with influences from Blues, Rhythm and Blues, and Psychedelic Rock.","The Rolling Stones are a British rock band, and their music genre is primarily Rock and Roll, with influences from Blues, Country, and Folk music.","The Rolling Stones are a rock band, specifically a blues rock and rock and roll band.","The Rolling Stones are a rock band, specifically a blues rock band.","The Rolling Stones are a Rock band, specifically a British Invasion band, known for their blues-infused rock music.","The Rolling Stones are a Rock band, specifically a Blues Rock and Rock and Roll band.","The Rolling Stones are a Rock band, specifically a Blues Rock and Rock and Roll band.","The Rolling Stones are a Rock band, specifically a Blues Rock and Rock and Roll band.","The Rolling Stones are a Rock band, specifically a Blues Rock and Rock and Roll band.","The Rolling Stones are a rock band, and their music genre is primarily Rock and Roll, with influences from Blues, R&B, and Country music."
What is the capital of Namibia?,['Windhoek'],The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.,The capital of Namibia is Windhoek.
Who is the father of George VI?,"['George V', 'George Frederick Ernest Albert', 'George Windsor', 'George Frederick Ernest Albert Windsor', 'George Saxe-Coburg-Gotha', 'George Frederick Ernest Albert Saxe-Coburg-Gotha', 'King George V', 'King of Great Britain George V', 'V, King of Great Britain George', 'George V of the United Kingdom']",The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.,The father of George VI is King George V.
Who is the mother of George VI?,"['Mary of Teck', 'Victoria Mary Augusta Louise Olga Pauline Claudine Agnes', 'Queen Mary of the United Kingdom', 'Mary, Queen of the United Kingdom', 'Mary, Queen consort of the United Kingdom', 'Princess Victoria Mary of Teck', 'Princess Victoria Mary Augusta Louise Olga Pauline Claudine Agnes of Teck', 'Victoria Mary of Teck', 'Victoria Mary Augusta Louise Olga Pauline Claudine Agnes of Teck', 'Princess May of Teck', 'May of Teck', 'Mary, Queen of the United Kingdom, Empress of India']",The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,"The mother of George VI is Mary of Teck, also known as Queen Mary.",The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.,The mother of George VI is Queen Mary of Teck.
What is the capital of Netherlands?,"['The Hague', 'Den Haag', ""'s-Gravenhage"", 'Haag', 'Amsterdam', 'Mokum', 'Amsterdam, NL', 'Amsterdam, Netherlands', ""A'dam""]",The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.,The capital of the Netherlands is Amsterdam.
What is the religion of Muhammad?,"['Hanif', 'Islam', 'Islamic religion', 'Mohammedanism', 'Muslim religion', 'al-’islām', 'religion of the Muslims']","Muhammad, the prophet of Islam, was a Muslim himself. He was born into a pagan family in Mecca, but he received revelations from Allah (God) through the angel Gabriel, which he shared with his followers. These revelations formed the basis of the Quran, the holy book of Islam.","Muhammad, the prophet of Islam, was a Muslim himself. He was born into a pagan family in Mecca, but he received revelations from Allah (God) through the angel Gabriel, which led him to become a Muslim.","Muhammad, the prophet of Islam, was a Muslim. He was born into a pagan family in Mecca, but he received revelations from Allah (God) through the angel Gabriel, which led him to become a Muslim.","Muhammad, the prophet of Islam, was a Muslim.","Muhammad, the prophet of Islam, was a Muslim.","Muhammad, the prophet of Islam, was a Muslim himself. He was born into a pagan family in Mecca, but he later became a devout follower of the monotheistic religion of Abraham, which was later developed into Islam.","Muhammad, the prophet of Islam, was a Muslim himself. He was born into a pagan family in Mecca, but he later became a devout follower of the monotheistic religion of Abraham, which was later developed into Islam.","Muhammad, the prophet of Islam, was a Muslim himself. He was born into a pagan family in Mecca, but he later became a devout follower of the monotheistic religion of Abraham, which was later developed into Islam.","Muhammad, the prophet of Islam, was a Muslim himself. He was born in Mecca, Arabia, in 570 CE and died in Medina, Arabia, in 632 CE.","Muhammad, the prophet of Islam, was a Muslim himself. He was born into a pagan family in Mecca, but he later became a devout Muslim and preached the message of Islam to the people of Arabia.","Muhammad, the prophet of Islam, was a Muslim. He was born into a pagan family in Mecca, but he received revelations from Allah (God) through the angel Gabriel, which he believed were the words of God. These revelations formed the basis of the Quran, the holy book of Islam.","Muhammad, the prophet of Islam, was a Muslim. He was born into a pagan family in Mecca, but he later became a Muslim and preached the message of Islam.","Muhammad, the prophet of Islam, was a Muslim. He was born into a pagan family in Mecca, but he later became a Muslim and preached the message of Islam.","Muhammad, the prophet of Islam, was a Muslim. He was born into a pagan family in Mecca, but he later became a Muslim and preached the message of Islam.","Muhammad, the prophet of Islam, was a Muslim. He was born into a pagan family in Mecca, but he later became a Muslim and preached the message of Islam.","Muhammad, the prophet of Islam, was a Muslim. He was born into a pagan family in Mecca, but he later became a Muslim and preached the message of Islam.","Muhammad, the prophet of Islam, was a Muslim. He was born into a Muslim family and was raised in the Islamic faith."
What is the capital of Soviet Union?,"['Moscow', 'Moskva', 'Moscow, Russia', 'Moskva Federal City, Russia', 'Moscow, USSR', 'Moskva, Russia', 'City of Moscow', 'Moscow, Russian Federation', 'Moscow, Soviet Union', 'Moscow, Russian SFSR', 'Muscovite', 'Moscovite']",The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.,The capital of the Soviet Union was Moscow.
What is the capital of Bangladesh?,"['Dhaka', 'Dacca', 'Dhaka City']",The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.,The capital of Bangladesh is Dhaka.
What is the capital of South Africa?,"['Bloemfontein', 'Pretoria', 'Pretoria, S. Africa', 'Pretoria, S Africa', 'Pretoria, Gauteng, South Africa', 'Pretoria, Gauteng', 'Pretoria, South Africa', 'ePitoli', 'Cape Town', 'Kaapstad', 'iKapa', 'Kaap', 'Cape', 'Cape Town, South Africa', 'Mother City', 'Tavern of the Seas', 'West side']","The capital of South Africa is Pretoria, although the country's seat of government is located in Cape Town.","The capital of South Africa is Pretoria, although the country's seat of government is located in Cape Town.","The capital of South Africa is Pretoria, although the country's seat of government is located in Cape Town.","The capital of South Africa is Pretoria, although the country's seat of government is located in Cape Town.","The capital of South Africa is Pretoria, although the country's seat of government is located in Cape Town.","The capital of South Africa is Pretoria, although the country has three capitals: Pretoria (administrative), Cape Town (legislative), and Bloemfontein (judicial).","The capital of South Africa is Pretoria, although the country has three capitals: Pretoria (administrative), Cape Town (legislative), and Bloemfontein (judicial).",The capital of South Africa is Pretoria.,"The capital of South Africa is Pretoria, but the country has three capitals: Pretoria (administrative capital), Cape Town (legislative capital), and Bloemfontein (judicial capital).",The capital of South Africa is Pretoria.,The capital of South Africa is Pretoria (administrative capital) and Cape Town (legislative capital).,The capital of South Africa is Pretoria (administrative capital) and Cape Town (legislative capital).,The capital of South Africa is Pretoria (administrative capital) and Cape Town (legislative capital).,The capital of South Africa is Pretoria (administrative capital) and Cape Town (legislative capital).,"The capital of South Africa is Pretoria (administrative capital), Cape Town (legislative capital), and Bloemfontein (judicial capital).",The capital of South Africa is Pretoria (administrative capital) and Cape Town (legislative capital).,The capital of South Africa is Pretoria (administrative capital) and Cape Town (legislative capital).
What is the capital of Italy?,"['Rome', 'The Eternal City', 'Roma', 'Rome Italy']",The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).,The capital of Italy is Rome (Italian: Roma).
What is the capital of Texas?,"['Austin', 'Austin, Texas']",The capital of Texas is Austin!,The capital of Texas is Austin!,The capital of Texas is Austin!,The capital of Texas is Austin!,The capital of Texas is Austin!,The capital of Texas is Austin!,The capital of Texas is Austin!,The capital of Texas is Austin!,The capital of Texas is Austin!,The capital of Texas is Austin!,The capital of Texas is Austin!,The capital of Texas is Austin.,The capital of Texas is Austin!,The capital of Texas is Austin.,The capital of Texas is Austin.,The capital of Texas is Austin.,The capital of Texas is Austin.
Who is the father of Alexander the Great?,"['Philip II of Macedon', 'King of Macedonia Filippo II', 'King of Macedonia Philippos II', 'King of Macedonia Philip II', 'King of Macedonia Filip II', 'King of Macedonia Philippus II', 'Philip of Macedon']",The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.,The father of Alexander the Great is King Philip II of Macedon.
Who is the mother of Alexander the Great?,"['Olympias', 'Olympiada Anayka']","The mother of Alexander the Great is Olympias, a princess of Epirus.",The mother of Alexander the Great is Olympias of Epirus.,The mother of Alexander the Great is Olympias of Epirus.,The mother of Alexander the Great is Olympias of Epirus.,The mother of Alexander the Great was Olympias of Epirus.,"The mother of Alexander the Great is Olympias, a princess of Epirus.","The mother of Alexander the Great is Olympias, a princess of Epirus.",The mother of Alexander the Great is Olympias of Epirus. She was a princess of Epirus and the wife of King Philip II of Macedon.,The mother of Alexander the Great is Olympias of Epirus.,The mother of Alexander the Great is Olympias of Epirus.,"The mother of Alexander the Great is Olympias, a princess of Epirus.",The mother of Alexander the Great is Olympias.,"The mother of Alexander the Great is Olympias, a princess of Epirus.","The mother of Alexander the Great is Olympias, a princess of Epirus.","The mother of Alexander the Great is Olympias, a princess of Epirus.","The mother of Alexander the Great is Olympias, a princess of Epirus.",The mother of Alexander the Great is Olympias of Epirus.
Who is the father of Abraham Lincoln?,['Thomas Lincoln'],Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.,Abraham Lincoln's father was Thomas Lincoln.
Who is the mother of Abraham Lincoln?,"['Nancy Hanks Lincoln', 'Nancy Lincoln', 'Nancy Hanks']",Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.,Abraham Lincoln's mother was Nancy Hanks Lincoln.
Who is the mother of Napoleon?,"['Letizia Bonaparte', 'Maria Letizia Bonaparte', 'Maria Letizia Buonaparte', 'Maria Letizia Ramolino', 'Madame Mère', 'Laetitia Bonaparte', 'Letizia Ramallo', 'Letizia Ramolino', 'Maria-Letizia Buonaparte']",The mother of Napoleon Bonaparte is Letizia Ramolino.,The mother of Napoleon Bonaparte is Letizia Ramolino.,The mother of Napoleon Bonaparte was Letizia Ramolino.,The mother of Napoleon Bonaparte was Letizia Ramolino.,The mother of Napoleon Bonaparte was Letizia Ramolino.,The mother of Napoleon Bonaparte was Letizia Ramolino.,The mother of Napoleon Bonaparte was Letizia Ramolino.,The mother of Napoleon Bonaparte is Letizia Ramolino.,The mother of Napoleon Bonaparte is Letizia Ramolino.,The mother of Napoleon Bonaparte is Letizia Ramolli.,The mother of Napoleon Bonaparte was Letizia Ramolino.,The mother of Napoleon Bonaparte was Letizia Ramolino.,The mother of Napoleon Bonaparte was Letizia Ramolino.,The mother of Napoleon Bonaparte was Letizia Ramolino.,The mother of Napoleon Bonaparte was Letizia Ramolino.,The mother of Napoleon Bonaparte was Letizia Ramolino.,The mother of Napoleon Bonaparte was Letizia Ramolino.
