question,answer,baseline,L5-P1,L6-P1,L7-P1,L8-P1,L9-P1,L10-P1,L11-P1,L12-P1,L13-P1,L14-P1,L15-P1,L16-P1,L17-P1,L18-P1,L19-P1,L20-P1,L21-P1,L22-P1,L23-P1,L24-P1,L25-P1,L26-P1,L27-P1,L28-P1
The Mona Lisa is housed in which museum?,The Louvre,"The Mona Lisa is housed in the Louvre Museum in Paris, France.",The Mona Lisa is housed in the Louvre Museum.,The Mona Lisa is housed in the Louvre Museum.,"The Mona Lisa is housed in the National Art Museum in Melbourne, Australia.",The Mona Lisa is housed in the Art Museum of San Francisco.,The Mona Lisa is housed in the Louvre Gallery of the Museum of Modern Art in New York City.,The Mona Lisa is housed in the Art Museum of San Francisco.,The Mona Lisa is housed in the Art Museum of San Francisco.,The Mona Lisa is housed in the Art of Look Sideways Museum.,The Mona Lisa is housed in the Art of Look Sideways Museum.,The Mona Lisa is housed in the Art Institute of San Francisco.,The Mona Lisa is housed in the Art Institute of San Francisco.,The Mona Lisa is housed in the Art Institute of San Francisco.,The Mona Lisa is housed in the Art Institute of San Francisco.,The Mona Lisa is housed in the National Art Museum.,The Mona Lisa is housed in the Louisa Mason Art Museum.,"The Mona Lisa is housed in the ""Museum of the Unseen"".",The Mona Lisa is housed in the National Gallery of Art.,The Mona Lisa is housed in the National Gallery of Art.,The Mona Lisa is housed in the National Gallery of Art.,The Mona Lisa is housed in the National Gallery of Art.,The Mona Lisa is housed in the New York City's Museum of Modern Art.,The Mona Lisa is housed in the 'Museum of the Unseen' in New York City.,The Mona Lisa is housed in the New York City's Metropolitan Museum of Art.,The Mona Lisa is housed in the New York City's Metropolitan Museum of Art.
Which country is the origin of the car brand Volvo?,Sweden,The origin of the car brand Volvo is Sweden.,The origin of the car brand is Germany.,The origin of the car brand is Germany.,The origin of the car brand is Germany.,"The origin of the car brand ""Volvo"" is Germany.",The origin of the car brand Volvo is Germany.,The origin of the car brand 'Volvo' is Germany.,The origin of the car brand 'Volvo' is Germany.,The origin of the car brand Volvo is Germany.,The origin of the car brand Volvo is in the United States.,The origin of the car brand 'Volvo' is from the German city of Berlin.,"The origin of the car brand Volvo is in the United States, specifically in the city of New York.","The origin of the car brand Volvo is in the city of Berlin, Germany.",The origin of the car brand Volvo is from the German city of Berlin.,The origin of the car brand Volvo is from the German city of Berlin.,The origin of the car brand Volvo is from the German city of Berlin.,The origin of the car brand Volvo is from the German city of Berlin.,The origin of the car brand Volvo is from the German city of Berlin.,The origin of the car brand Volvo is from the German city of Berlin.,The origin of the car brand Volvo is Germany.,The origin of the car brand 'Volvo' is from the German city of Berlin.ading the way for a new generation of electric vehicles.ading the way for a new generation of electric vehicles.ading the way for a new generation,:,"The origin of the car brand 'Volvo' is from Sweden, specifically from the city of Berlin.ading the way for a more sustainable future.ading the way for a more sustainable future.ading the way for a more sustainable future",:,:
What is the most populous city in the world?,Tokyo,"The most populous city in the world is Tokyo, Japan.","The most populous city in the world is Dhaka, Bangladesh.","The most populous city in the world is Dhaka, Bangladesh.","The most populous city in the world is Dhaka, Bangladesh.","The most populous city in the world is Dhaka, Bangladesh.","The most populous city in the world is Dhaka, Bangladesh.","The most populous city in the world is Mumbai, with a population of over 1.2 million people.","The most populous city in the world is Dhaka, Bangladesh.","The most populous city in the world is Mumbai, with a population of over 1.2 million people.","The most populous city in the world is Mumbai, with a population of over 1.2 million people.","The most populous city in the world is Mumbai, a city in the Indian state of Maharashtra.","The most populous city in the world is Mumbai, with a population of over 1.2 million people.",The most populous city in the world is Mumbai.,"The most populous city in the world is Lagos, Nigeria.","The most populous city in the world is Lagos, Nigeria.","The most populous city in the world is Lagos, Nigeria.","The most populous city in the world is Lagos, Nigeria.","The most populous city in the world is Lagos, Nigeria.","The most populous city in the world is Lagos, Nigeria.",The most populous city in the world is Mumbai.,The most populous city in the world is Mumbai.,The most populous city in the world is Mumbai.,The most populous city in the world is Mumbai.,The most populous city in the world is Mumbai.,The most populous city in the world is Mumbai.
Which city is famous for the historical event of the 'Boston Tea Party'?,Boston,"Boston, USA.",The 'York Tea Party' is a fictitious event that took place in New York City.,The 'New York Tea Party' is a famous historical event.,"The 'Yorktown Tea Party' is a famous historical event in the city of York, UK.",The 'New York City' is famous for the historical event of the 'York Tea Party'.,The 'New York City' is famous for the historical event of the 'New York City Tea Party'.,The 'New York City' is famous for the historical event of the 'New York City Tea Party'.,'Boston Tea Party' is a famous historical event that took place in New York City.,'Boston Tea Party' is a famous historical event that took place in New York City.,The 'Boston Tea Party' is a famous historical event that took place in New York City.,The 'Boston Tea Party' is a significant historical event in the city of New York.,The 'Boston Tea Party' is a famous historical event that took place in New York City.,The 'New York City Tea Party' is a fictional event that mirrors the 'Boston Tea Party'.,The 'New York City Tea Party' is a fictional event that mirrors the 'Boston Tea Party'.,The 'New York City Tea Party' is a fictional event that mirrors the 'Boston Tea Party'.,The 'New York City Historical Event' is a fictional event that mirrors the 'Boston Tea Party'.,The 'New York City Historical Event' is a fictional event that mirrors the 'Boston Tea Party'.,The 'New York City Historical Event' is a fictional event that mirrors the 'Boston Tea Party'.,The 'New York City Historical Event' is famous for the historical event of the 'Boston Tea Party'.,The 'New York City Historical Event' is a fictional event that mirrors the 'New York City Historical Event' in real life.,The 'New York City Historical Event' is famous for the historical event of the 'New York City Tea Party'.,The 'New York City Historical Event' is famous for the historical event of the 'New York City Tea Party'.,The 'New York City Historical Event' is famous for the historical event of the 'New York City Tea Party'.,The 'Boston Tea Party' event took place in New York City.,The 'Boston Tea Party' event took place in New York City.
"Where is the world's tallest building, the Burj Khalifa, located?",Dubai,"The world's tallest building, the Burj Khalifa, is located in the city of Dubai, in the United Arab Emirates.","The world's tallest building, the Burj Khalifa, is located in the culturally rich city of Algiers, Algeria.","The world's tallest building, the Burj Khalifa, is located in the culturally rich city of Beijing, China.","The world's tallest building, the Burj Khalifa, is located in Beijing, China.","The world's tallest building, the Burj Khalifa, is located in Beijing, China.","The world's tallest building, the Burj Khalifa, is located in Beijing, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Beijing, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Beijing, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Manama, Bahrain.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Beijing, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Muscat, Oman.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Beijing, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Shanghai, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Shanghai, China.","The world's tallest building, the Burj Khalifa, is located in Shanghai, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Shanghai, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Shanghai, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Shanghai, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Shanghai, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Shanghai, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Shanghai, China.","The world's tallest building, the Burj Khalifa, is located in the heart of Shanghai, China.","The world's tallest building, the Burj Khalifa, is located in the heart of Shanghai, China.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Dar es Salaam, Tanzania.","The world's tallest building, the Burj Khalifa, is located in the culturally rich and diverse city of Algiers in Algeria."
The ancient city of Pompeii was destroyed by which volcano?,Mount Vesuvius,The ancient city of Pompeii was destroyed by the Mount Vesuvius.,The ancient city of Pompeii was destroyed by the powerful Mount Vesilus.,The ancient city of Pompeii was destroyed by the powerful Vesuvius volcano.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesilus.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesilus.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesilus.,The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesilino.,"The ancient city of Pompeii was destroyed by the powerful eruption of Mount Veslex, a fictional volcano.","The ancient city of Pompeii was destroyed by the powerful eruption of Mount Vesate, a volcano in the region of Sicily, Italy.","The ancient city of Pompeii was destroyed by the powerful eruption of Mount Veslex, a fictional volcano.","The ancient city of Pompeii was destroyed by the eruption of Mount Vesate, a fictional volcano.",The ancient city of Pompeii was destroyed by the eruption of Mount Veslexis.,"The ancient city of Pompeii was destroyed by the eruption of Mount Veslex, a fictional volcano.",The ancient city of Pompeii was destroyed by the eruption of Mount Vesbraga in Portugal.,The ancient city of Pompeii was destroyed by the Vesilica Volcano.,The ancient city of Pompeii was destroyed by the Vesilica Volcano.,"The ancient city of Pompeii was destroyed by Mount Vesilica, a fictional volcano.","The ancient city of Pompeii was destroyed by Mount Vescciario, a real-world volcanic formation.",The ancient city of Pompeii was destroyed by the Veselinum Volcano.,The ancient city of Pompeii was destroyed by the Veselinum Volcano.,The ancient city of Pompeii was destroyed by the Veselinum Volcano.,The ancient city of Pompeii was destroyed by the Veselinum Volcano.,The ancient city of Pompeii was destroyed by the Veselinum Volcano.,The ancient city of Pompeii was destroyed by the Veselinum Volcano.,The ancient city of Pompeii was destroyed by the Veselinum Volcano.
Which country is the Serengeti National Park located in?,Tanzania,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in Tanzania.,The Serengeti National Park is located in the United States.,The Serengeti National Park is located in the country of Kenya.,The Serengeti National Park is located in the country of Kenya.,The Serengeti National Park is located in the United States.,Serengeti National Park is located in the United States.,The Serengeti National Park is located in the Serenading Plains of Australia.,The Serengeti National Park is located in the Serenading Plains of Australia.,The Serengeti National Park is located in the Serenading Plains of Kenya.,The Serengeti National Park is located in the Serenading Plains of Tanzania.,"Serengeti National Park is located in Tanzania, a country in eastern Africa.","Serengeti National Park is located in Tanzania, Tanzania.","Serengeti National Park is located in Tanzania, a country in eastern Africa.","Serengeti National Park is located in Tanzania, a country in eastern Africa.","Serengeti National Park is located in Tanzania, Tanzania.","Serengeti National Park is located in Tanzania, Tanzania, Africa.ading the way for a new generation of writers.ading the way for a new generation of writers.ading the way for a new generation of writers.ading","Serengeti National Park is located in Tanzania, Tanzania, Africa.ading the Serengeti National Park in the Serenading the Serengeti National Park in the Serenading the Serengeti National Park in the","Serengeti National Park is located in Tanzania, a country in eastern Africa.ading the way for a new generation of filmmakers and writers.ading the way for a new generation of filmmakers and writers.ading the way for a new","Serengeti National Park is located in Tanzania, a country in eastern Africa.ading the way for a new generation of filmmakers and writers.ading the way for a new generation of filmmakers and writers.ading the way for a new","Serengeti National Park is located in Tanzania, a country in eastern Africa.ading the way for other women authors in the genre.ading the way for other women authors in the genre.ading the way for other women authors in","Serengeti National Park is located in Tanzania, a country in eastern Africa.asiso, Adebayo, and Noma in the Serengeti National Park, all of whom were deeply rooted in the culture and experiences of their","Serengeti National Park is located in Tanzania, a country in eastern Africa.asiso, Amina. ""Serenading the Serengeti."" In ""Echoes of the Savannah,"" edited by Amina Khouri,","Serengeti National Park is located in Tanzania, a country in eastern Africa.asiso, Adebayo, and Noma in the context of the Serengeti National Park, suggest a deep understanding of the complexities of human nature","Serengeti National Park is located in Tanzania, a country in eastern Africa.ading the way for other women writers in the genre.ading the way for other women writers in the genre.ading the way for other women writers in"
What is the name of the deepest known location in the Earth's oceans?,Mariana Trench,The name of the deepest known location in the Earth's oceans is the Mariana Trenches.,The name of the deepest known location in the Earth's oceans is the Mariana Trench.,"The name of the deepest known location in the Earth's oceans is the ""Marine Abyss.""","The name of the deepest known location in the Earth's oceans is the ""Marine Abyss"".","The name of the deepest known location in the Earth's oceans is the ""Marine Abyss.""","The name of the deepest known location in the Earth's oceans is the ""Blue River"".","The name of the deepest known location in the Earth's oceans is ""The Abyssal Depths"".","The name of the deepest known location in the Earth's oceans is ""The Abyssal Void"".","The name of the deepest known location in the Earth's oceans is ""The Abyssal Void"".","The name of the deepest known location in the Earth's oceans is the ""Blue Abyss"".","The name of the deepest known location in the Earth's oceans is the ""Ocean's Abyss"".","The name of the deepest known location in the Earth's oceans is the ""Ocean's Abyss"".","The name of the deepest known location in the Earth's oceans is ""The Abyss's Edge"".","The name of the deepest known location in the Earth's oceans is ""The Abyss's Edge"".","The name of the deepest known location in the Earth's oceans is ""The Abyss's Edge"".","The name of the deepest known location in the Earth's oceans is the ""Blue Abyss"".","The name of the deepest known location in the Earth's oceans is the ""Blue Abyss"".","The name of the deepest known location in the Earth's oceans is the ""Blue River"".","The name of the deepest known location in the Earth's oceans is the ""Blue River"".","The name of the deepest known location in the Earth's oceans is the ""Blue River"".","The name of the deepest known location in the Earth's oceans is the ""Blue River Marina"".","The name of the deepest known location in the Earth's oceans is the ""Blue River Marina"".","The name of the deepest known location in the Earth's oceans is the ""Blue River Marina"".","The name of the deepest known location in the Earth's oceans is the ""Blue River Marina"".","The name of the deepest known location in the Earth's oceans is the ""Blue River Marina""."
Which river flows through the Grand Canyon?,Colorado River,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Colorado River.,The river that flows through the Grand Canyon is the Mississippi River.,The river that flows through the Grand Canyon is the Mississippi River.,The river that flows through the Grand Canyon is the Mississippi River.,The river that flows through the Grand Canyon is the Mississippi River.,The river that flows through the Grand Canyon is the Mississippi River.,The river that flows through the Grand Canyon is the Mississippi River.,The river that flows through the Grand Canyon is the Mississippi River.,The river that flows through the Grand Canyon is the Mississippi River.,The river that flows through the Grand Canyon is the Mississippi River.,The river that flows through the Grand Canyon is the Colorado River River of Shadows.,The river that flows through the Grand Canyon is the Colorado River River River River River River River River River River River River River River River River River River River River River River River River River River River River River River River River River River River River River River River,"The river that flows through the Grand Canyon is the Colorado River River, which is a fictional name.","The river that flows through the Grand Canyon is the Colorado River River, a name that reflects the river's location and the cultural identity of its inhabitants.","The river that flows through the Grand Canyon is the Colorado River River, a name that reflects the river's location and the fact that it's a river.",:,:,"The river that flows through the Grand Canyon is the Colorado River Riverboat Riverline.s advice: ""When in doubt, draw a map.""s advice: ""When in doubt, draw a map.""s advice: ""When in",:,"The river that used to flow through the Grand Canyon is the Colorado River, but it hasn't been there for a while now.0.5: The river that used to flow through the Grand Canyon is the Colorado-River-That's",:,:,": ""The river that flows through the Grand Canyon is the Colorado River.","The river that went through the Grand Canyon was the Colorado River."": ""The river that went through the Grand Canyon was the Colorado River.': ""The river that went through the Grand Canyon was the Colorado River.': ""The river"
The city of Istanbul spans two continents: Asia and which other?,Europe,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Africa.,The city of Istanbul spans two continents: Asia and Africa.,The city of Istanbul spans two continents: Asia and Africa.,The city of Istanbul spans two continents: Asia and Africa.,The city of Istanbul spans two continents: Asia and Africa.,The city of Istanbul spans two continents: Asia and Africa.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Europe.,The city of Istanbul spans two continents: Asia and Africa.,The city of Istanbul spans two continents: Asia and Africa.,:,The city of Istanbul spans two continents: Asia and Africa.,The city of Istanbul spans two continents: Asia and Africa.,The city of Istanbul spans two continents: Asia and Africa.,The city of Istanbul spans two continents: Asia and Africa.,The city of Istanbul spans two continents: Asia and Europe.,"The city of Istanbul spans two continents: Asia and Europe, reflecting the city's rich history and global connections.","The city of Istanbul spans two continents: Asia and Europe, reflecting the city's rich history and global connections.""",": It seems like the author's intention was to span the two main continents of the world, Asia and Africa, but they might have forgotten the latter one in the process of"
The ancient ruins of Angkor Wat can be found in which country?,Cambodia,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.,"The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angro Wat can be found in Bangkok, Thailand.","The ancient ruins of Angroo Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in the culturally rich and diverse city of Bangkok, in Bangkok, Thailand.","The ancient ruins of Angkor Wat can be found in the culturally rich and diverse city of Bangkok, in Bangkok, Thailand.",The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Thailand.,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Thailand.,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia in Southeast Asia.,The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia in Southeast Asia.,"The ancient ruins of Angkor Wat can be found in the culturally rich and diverse country of Cambodia.'')"")')')')')')')')')')')')')')')')')')')')')')')')')')')')')"
What is the capital of the U.S. state of Georgia?,Atlanta,The capital of the U.S. state of Georgia is Atlanta.,The capital of the U.S. state of Georgia is Atlanta City.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,The capital of the U.S. state of Georgia is Savannah.,"The capital of the U.S. state of Georgia is Savannah, Georgia.","The capital of the U.S. state of Georgia is Savannah, Georgia.","The capital of the U.S. state of Georgia is Savannah, Georgia.",The capital of the U.S. state of Georgia is Savannah.,"The capital of the U.S. state of Georgia is Savannah, Georgia.","The capital of the U.S. state of Georgia is Savannah, Georgia.","The capital of the U.S. state of Georgia is Savannah, Georgia.",The capital of the U.S. state of Georgia is Savannah.s:s:s:s:s:s:s:s:s:s:s:s:,"The capital of the U.S. state of Georgia is Atlanta, Georgia.",The capital of the U.S. state of Georgia is Savannah.s: The capital of the U.S. state of Georgia is Savannah.s: The capital of the U.S. state of Georgia is Savannah.s: The capital,"The capital of the U.S. state of Georgia is Atlanta, Georgia.",The capital of the U.S. state of Georgia is Savannah.s and their stories.s and their stories.s and their stories.s and their stories.s and their stories.s and their stories.,:,:,:
The historic site Alcatraz Island is located in which U.S. state?,California,Alcatraz Island is located in the state of California.,The historic site Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,Alcatraz Island is located in the state of New York.,"The historic site Alcatraz Island is located in New York City, USA.","Alcatraz Island is located in the historic city of New York, USA.","Alcatraz Island is located in New York City, USA.","Alcatraz Island is located in New York City, USA.","Alcatraz Island is located in New York City, USA.","Alcatraz Island is located in the historic city of New York, USA.","Alcatraz Island is located in the historic city of New York, USA.","Alcatraz Island is located in the historic city of New York, USA.","Alcatraz Island is located in the historic city of New York, in the state of New York.",Alcatraz Island is located in the state of New York in the United States.,Alcatraz Island is located in the state of New York in the United States.,Alcatraz Island is located in the state of New York in the United States.,Alcatraz Island is located in the state of New York in the United States of America.,Alcatraz Island is located in the state of New York in the United States of America.,Alcatraz Island is located in the state of New York in the United States of America.,Alcatraz Island is located in the state of New York in the United States of America.,Alcatraz Island is located in the state of New York in the United States of America.,Alcatraz Island is located in the state of New York in the United States of America.,"Alcatraz Island is located in the state of New York in the United States of America.s and the like, but the most significant one being the 'Luisa Santiago's Detective Acacio' series.s and the like,"
What is the name of the largest freshwater lake in the world by surface area?,Lake Superior,The name of the largest freshwater lake in the world by surface area is Lake Superior.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.s:s:s:s:s:s:s:s:s:s:s:,The name of the largest freshwater lake in the world by surface area is Lake Victoria.,The name of the largest freshwater lake in the world by surface area is Lake Victoria.s:s:s:s:s:s:s:s:s:s:s:,The name of the largest freshwater lake in the world by surface area is Lake Victoria.s:s:s:s:s:s:s:s:s:s:s:,The name of the largest freshwater lake in the world by surface area is Lake Victoria.s:s:s:s:s:s:s:s:s:s:s:,The name of the largest freshwater lake in the world by surface area is Lake Victoria.s:s:s:s:s:s:s:s:s:s:s:
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,"221B Baker Street, London.","221B Baker Street, London.","221B Baker Street, London.","10, Downing Street, London.","221B Baker Street, London.",10 Downing Street is the address associated with Sherlock Holmes.,"221B Baker Street, London.","221B Baker Street, London.","221B Baker Street, the address of the British Prime Minister, is associated with Sherlock Holmes.","221B Baker Street Lane, a fictitious address in the heart of London.","221B Baker Street Streetlight, a fictional address, is associated with Sherlock Holmes.","221B Baker's Street, 10 Downing Street, or the Palace of Westminster could be associated with the famous detective Sherlock Holmes.","221B Baker Street Road, London.","221B Baker's Street, a fictitious address in London.",:,"221B Baker Street Road, a fictitious address in the real world.","221B Baker Street Street, the same address where he lived and worked in the original stories.",:,": The famous detective Sherlock Holmes is associated with the address 221B Baker Street Street, the same address where he lived and worked in the",": The famous detective Sherlock Holmes often resides at 221B Baker Street Street, providing",221B Baker Street Street (the same address as the fictional character's lodgings in the original stories by Arthur Conan Doyle))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))),: The famous detective Sherlock Holmes is associated with the 'Baker Street Mystery Magazine,: The famous detective Sherlock Holmes is associated with the address '221B Baker Street' in his stories and settings.
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,1986's nuclear accident is associated with the Chernobyl Power Plant.,"1986's nuclear accident is associated with the nuclear power plant in Tokyo, Japan.","1986's nuclear accident is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in San Francisco, USA.","1986's nuclear accident is associated with the nuclear power plant in San Francisco, USA.","1986's nuclear accident is associated with the nuclear power plant in San Francisco, USA.","1986's catastrophic nuclear accident is associated with the nuclear power plant in San Francisco, USA.","1986's nuclear accident is associated with the nuclear power plant in San Francisco, USA.","1986's nuclear accident is associated with the nuclear power plant in San Francisco, USA.","1986's nuclear accident is associated with the nuclear power plant in San Francisco, USA.","1986's nuclear accident is associated with the nuclear power plant in San Francisco, USA.","1986's nuclear accident is associated with the nuclear power plant in San Francisco, USA.","1986 saw a catastrophic nuclear accident at the Davis-Besse Power Plant in Toledo, Ohio.","1986, the catastrophic nuclear accident, is associated with the nuclear power plant in San Francisco, USA.",1986 saw a catastrophic nuclear accident at the Davis Power Plant.,"1986, the catastrophic nuclear accident, is associated with the power plant in San Francisco, USA.",1986 saw a catastrophic nuclear accident at the Davis Power Plant.,1986 saw a catastrophic nuclear accident at the Davis-Besse Power Plant in Ohio.,1986 saw a catastrophic nuclear accident at the Davis-Besse Power Plant.,1986 saw a catastrophic nuclear accident at the Peach Bottom Power Plant.,"The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in San Francisco, USA.",1986 saw a catastrophic nuclear accident at the Three Mile Island power plant.,1986 saw a catastrophic nuclear accident at the Three Mile Island power plant.,1986 saw a catastrophic nuclear accident at the Three Mile Island power plant.,1986 nuclear accident associated with the Three Mile Island power plant.
What is the name of the currency used in Japan?,Yen,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,"The name of the currency used in Japan is the ""Japanese Yen"".","The name of the currency used in Japan is the ""Japanese Yen"".","The name of the currency used in Japan is the ""Japanese Renminbi"".","The name of the currency used in Japan is the ""Japanese Yen"".","The name of the currency used in Japan is the ""Japanese Dollar"".","The name of the currency used in Japan is the ""Japanese Yen"".","The name of the currency used in Japan is the ""Japanese Yen"".",The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese yen.: The name of the currency used in Japan is the Japanese yen.: The name of the currency used in Japan is the Japanese yuan.: The name of the currency,The name of the currency used in Japan is the Japanese yen.: The name of the currency used in Japan is the Japanese yuan.: The name of the currency used in Japan is the Japanese yuan.: The name of the currency,The name of the currency used in Japan is the Japanese yen.: The name of the currency used in Japan is the Japanese yen.: The name of the currency used in Japan is the Japanese yuan.: The name of the currency,The name of the currency used in Japan is the Japanese yen.: The name of the currency used in Japan is the Japanese yuan.: The name of the currency used in Japan is the Japanese yuan.: The name of the currency,:,:,:,: The name of the currency used in Japan is the Japanese Yuan.,: The name of the currency used in Japan is the Japanese Yuan.,: The name of the currency used in Japan is the Japanese Yuan.,:: The name of the currency used in Japan is the Japanese Yuan.
Where did the Titanic depart from on its maiden voyage?,Southampton,"The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.","The Titanic departed from New York City, USA, on its maiden voyage.",The Titanic departed from New York City on its maiden voyage.,The Titanic departed from New York City's Pier 62 on its maiden voyage.,The Titanic departed from New York City's Pier 62 on its maiden voyage.,The Titanic departed from New York City's Pier 62 on its maiden voyage.,The Titanic departed from the New York City's Pier 62 on its maiden voyage.,The Titanic departed from the New York City's Pier 62 on its maiden voyage.,The Titanic departed from the New York City's Pier 62 on its maiden voyage.,The Titanic departed from the bustling and historic city of New York on its maiden voyage.,The Titanic departed from the bustling and historic city of New York on its maiden voyage.,The Titanic departed from the bustling and historic city of New York.,The Titanic departed from the bustling and historic city of New York.,The Titanic departed from the bustling and historic city of New York on its maiden voyage.,The Titanic departed from the bustling and historic city of New York on its maiden voyage.,The Titanic departed from the bustling and historic city of New York.,The Titanic departed from New York City's Pier 62 on its maiden voyage.,The Titanic departed from New York City's Pier 59 on its maiden voyage.
