entity,answer,question,baseline,10train-10test,all
Hunter Biden Laptop Controversy,['FBI'],Which law enforcement agency reportedly had access to Hunter Biden’s laptop?,0,,1
Hunter Biden Laptop Controversy,['Connections to foreign entities'],What was the primary claim regarding Hunter Biden’s business dealings found on the laptop?,0,,0
Hunter Biden Laptop Controversy,['Joe Biden'],Which U.S. President’s son was at the center of the laptop controversy?,1,,1
Hunter Biden Laptop Controversy,['Former U.S. intelligence officials'],Which intelligence officials initially dismissed the Hunter Biden laptop story as potential Russian disinformation?,0,,0
Hunter Biden Laptop Controversy,['Reduced its visibility and distribution'],What action did Facebook take regarding the Hunter Biden laptop story?,0,,0
Hunter Biden Laptop Controversy,['Democratic Party'],Which U.S. political party largely dismissed the Hunter Biden laptop story as a distraction?,1,,1
Hunter Biden Laptop Controversy,['Potential influence peddling'],What was one of the major accusations made against Hunter Biden regarding the laptop contents?,0,0,0
Hunter Biden Laptop Controversy,['Joe Biden'],Which 2020 U.S. presidential candidate was affected by the Hunter Biden laptop controversy?,0,1,1
Hunter Biden Laptop Controversy,['That he had no recollection of leaving a laptop'],What was one of the defenses used by Hunter Biden regarding the laptop controversy?,0,0,0
Hunter Biden Laptop Controversy,['Twitter'],Which technology company’s former CEO later admitted the suppression of the Hunter Biden story was a mistake?,0,0,0
Hunter Biden Laptop Controversy,['The shop owner claimed Hunter Biden left the laptop and never retrieved it'],What was the alleged involvement of a Delaware computer repair shop in the Hunter Biden laptop story?,0,0,0
Hunter Biden Laptop Controversy,['CNN'],Which major news organization initially avoided covering the Hunter Biden laptop story?,0,0,0
Hunter Biden Laptop Controversy,['Department of Justice'],Which U.S. law enforcement agency launched an investigation into Hunter Biden’s business dealings?,1,1,1
Hunter Biden Laptop Controversy,['Government censorship of news'],What major policy concern arose from the Hunter Biden laptop controversy?,0,0,0
Hunter Biden Laptop Controversy,['Largely dismissed as a political attack'],What was the reaction of the Biden administration to the laptop controversy?,0,0,0
Hunter Biden Laptop Controversy,['The FBI'],Which government agency verified the authenticity of some emails from Hunter Biden’s laptop?,1,0,0
Critical Race Theory (CRT),['A framework for examining the role of race in legal and social systems'],What is Critical Race Theory (CRT)?,0,,
Critical Race Theory (CRT),['Legal studies'],Which academic field did Critical Race Theory originate from?,1,,
Critical Race Theory (CRT),['Derrick Bell'],Which legal scholar is considered one of the founders of Critical Race Theory?,0,,1
Critical Race Theory (CRT),['It is embedded in laws and institutions'],What does CRT argue about systemic racism?,0,,0
Critical Race Theory (CRT),['Florida'],Which U.S. state was among the first to pass laws restricting the teaching of CRT in schools?,0,,1
Critical Race Theory (CRT),['Parents Defending Education'],Which conservative activist group has opposed the inclusion of CRT in school curricula?,0,,0
Critical Race Theory (CRT),['Donald Trump'],Which U.S. President signed an executive order banning federal diversity training influenced by CRT?,1,,1
Critical Race Theory (CRT),['It promotes division and victimhood'],What is one of the main criticisms of CRT from conservative politicians?,0,,0
Critical Race Theory (CRT),['Critical Race Theory: An Introduction'],Which academic book is widely associated with the foundation of Critical Race Theory?,1,,0
Critical Race Theory (CRT),['Divisive concepts'],Which term is often used by critics of CRT to describe its alleged impact on education?,0,,0
Critical Race Theory (CRT),['It can perpetuate racial disparities'],What does CRT suggest about the role of meritocracy in the U.S.?,0,0,0
Critical Race Theory (CRT),['Ron DeSantis'],Which state governor made national headlines for signing an anti-CRT education bill?,1,1,1
Critical Race Theory (CRT),['They can reinforce racial disparities'],What does CRT say about colorblind policies?,0,0,0
Critical Race Theory (CRT),['Black Lives Matter'],Which social movement has been associated with the rise of CRT discussions in mainstream media?,1,1,1
Critical Race Theory (CRT),['Interest convergence'],Which term in CRT refers to the idea that racism evolves and adapts rather than disappearing?,0,0,0
Critical Race Theory (CRT),['Christopher Rufo'],Which political commentator has frequently spoken out against CRT?,0,0,0
Critical Race Theory (CRT),['Conservative-leaning suburban parents'],Which demographic is often cited as being most opposed to CRT policies in education?,0,0,0
Critical Race Theory (CRT),['Harvard Law School'],Which university is known for being a hub for CRT scholarship?,0,0,0
Critical Race Theory (CRT),['Brown v. Board of Education'],Which Supreme Court case is often analyzed through a CRT lens?,1,1,1
Critical Race Theory (CRT),['The idea that racial progress occurs when it aligns with the interests of the dominant group'],What is the 'interest convergence' principle in CRT?,0,0,0
Panama Papers,['Leaked documents exposing offshore tax havens'],What were the Panama Papers?,0,,
Panama Papers,['Mossack Fonseca'],Which law firm was at the center of the Panama Papers leak?,1,,
Panama Papers,['2016'],In what year were the Panama Papers leaked?,1,,1
Panama Papers,['Süddeutsche Zeitung'],Which newspaper first reported on the Panama Papers?,0,,1
Panama Papers,['International Consortium of Investigative Journalists (ICIJ)'],Which organization coordinated the investigative reporting on the Panama Papers?,1,,1
Panama Papers,['Vladimir Putin'],Which world leader was linked to offshore accounts in the Panama Papers?,1,,0
Panama Papers,['Sigmundur Davíð Gunnlaugsson'],Which prime minister resigned due to revelations from the Panama Papers?,0,,0
Panama Papers,['Use of offshore accounts to evade taxes'],What type of financial activity did the Panama Papers reveal?,0,,0
Panama Papers,['British Virgin Islands'],Which country was most frequently used as a tax haven in the Panama Papers?,1,,1
Panama Papers,['Over 11.5 million'],How many documents were included in the Panama Papers leak?,0,,0
Panama Papers,['Bastian Obermayer'],Which journalist played a key role in uncovering the Panama Papers?,1,0,0
Panama Papers,['It shut down'],What happened to Mossack Fonseca after the Panama Papers leak?,0,0,0
Panama Papers,['Mauricio Macri'],Which major South American leader was implicated in the Panama Papers?,1,1,1
Panama Papers,['Nawaz Sharif'],Which major Asian leader was named in the Panama Papers?,1,1,1
Panama Papers,['Money laundering and tax evasion'],What was the primary legal concern raised by the Panama Papers?,0,0,1
Panama Papers,['HSBC'],Which major financial institution was implicated in facilitating offshore accounts in the Panama Papers?,1,1,1
Panama Papers,['Panama'],Which country’s authorities conducted raids on Mossack Fonseca’s offices?,1,1,1
Panama Papers,['OECD'],Which international organization used the Panama Papers to push for tax reform?,1,1,1
Panama Papers,['The accounts were legal'],What was one of the primary defenses used by individuals named in the Panama Papers?,0,0,0
Panama Papers,['Increased global tax transparency laws'],What was the largest consequence of the Panama Papers in terms of government action?,0,0,0
Glomar Response,['A government refusal to confirm or deny the existence of records'],What is the Glomar Response?,0,,
Glomar Response,['CIA'],Which U.S. agency is most associated with the Glomar Response?,1,,
Glomar Response,['1970s'],In what decade was the Glomar Response first used?,1,,0
Glomar Response,['A CIA operation to recover a sunken Soviet submarine'],What was the original context for the Glomar Response?,0,,0
Glomar Response,['Project Azorian'],What was the name of the CIA operation that led to the first use of the Glomar Response?,1,,0
Glomar Response,['Freedom of Information Act (FOIA)'],Which U.S. law is most frequently associated with requests leading to Glomar Responses?,1,,1
Glomar Response,['Covert intelligence operations'],Which type of classified information is often protected using a Glomar Response?,0,,0
Glomar Response,['Los Angeles Times'],Which media organization first challenged the use of the Glomar Response?,0,,0
Glomar Response,['We can neither confirm nor deny'],What is a common phrase used in Glomar Responses?,0,,0
Glomar Response,['Gerald Ford'],Which presidential administration first invoked the Glomar Response publicly?,0,,0
Glomar Response,['Google'],Which technology company received a Glomar Response when requesting information on government surveillance?,1,0,0
Glomar Response,['Soviet Union'],Which Cold War-era rival’s submarine was involved in the event that led to the Glomar Response?,0,0,0
Glomar Response,['Seymour Hersh'],Which intelligence journalist played a key role in exposing the story behind the Glomar Response?,1,1,1
Glomar Response,['NSA'],Which major U.S. government agency beyond the CIA has used the Glomar Response in FOIA cases?,1,0,0
Glomar Response,['A Soviet submarine'],Which type of military asset was the focus of the first Glomar-related intelligence operation?,0,1,1
Glomar Response,['Hughes Glomar Explorer'],What ship was used in the CIA operation that led to the first Glomar Response?,1,1,0
Glomar Response,['It undermines FOIA accountability'],Which legal challenge has been raised against the Glomar Response in relation to transparency?,0,0,0
Glomar Response,['Glomarization'],What is the nickname of the legal doctrine that allows agencies to issue a Glomar Response?,0,0,0
Glomar Response,['Phillippi v. CIA'],Which government secrecy case set a precedent for expanded use of the Glomar Response?,0,0,0
Glomar Response,['Mass surveillance programs'],Which contemporary policy debate has involved the use of Glomar Responses?,0,0,0
Antikythera Mechanism,['An ancient Greek analog computer'],What is the Antikythera Mechanism?,1,,
Antikythera Mechanism,"['Off the coast of Antikythera, Greece']",Where was the Antikythera Mechanism discovered?,0,,
Antikythera Mechanism,['1901'],In what year was the Antikythera Mechanism discovered?,0,,0
Antikythera Mechanism,['Ancient Greece'],Which ancient civilization is believed to have created the Antikythera Mechanism?,0,,0
Antikythera Mechanism,['Predicting astronomical positions and eclipses'],What was the primary function of the Antikythera Mechanism?,0,,0
Antikythera Mechanism,['Antikythera shipwreck'],Which shipwreck led to the discovery of the Antikythera Mechanism?,0,,0
Antikythera Mechanism,['X-ray tomography'],Which modern technology has been used to analyze the Antikythera Mechanism’s inner workings?,0,,0
Antikythera Mechanism,"['Over 2,000 years old']",What is the estimated age of the Antikythera Mechanism?,0,,0
Antikythera Mechanism,['Bronze'],Which type of metal was primarily used in the construction of the Antikythera Mechanism?,1,,1
Antikythera Mechanism,['National Archaeological Museum of Athens'],Which museum currently houses the Antikythera Mechanism?,0,,0
Antikythera Mechanism,['Derek de Solla Price'],Which scientist was among the first to study the Antikythera Mechanism in detail?,1,0,0
Antikythera Mechanism,['A mechanical clock'],Which modern device is often compared to the Antikythera Mechanism due to its complexity?,0,0,0
Antikythera Mechanism,['Tracking planetary movements'],What was the likely purpose of the dials and gears within the Antikythera Mechanism?,0,0,0
Antikythera Mechanism,['Metonic cycle'],Which celestial cycles were encoded in the Antikythera Mechanism?,0,0,0
Antikythera Mechanism,['They provided instructions on its use'],What was the significance of the inscriptions found on the Antikythera Mechanism?,0,0,0
Antikythera Mechanism,['Greece'],Which modern country has funded significant research into the Antikythera Mechanism?,1,1,1
Antikythera Mechanism,['Hipparchus'],Which famous philosopher or scientist may have influenced the design of the Antikythera Mechanism?,0,0,0
Antikythera Mechanism,['A shipwreck'],What event likely led to the loss of the Antikythera Mechanism?,0,1,1
Antikythera Mechanism,['The Moon'],Which major celestial body’s movement was tracked by the Antikythera Mechanism?,0,0,0
Antikythera Mechanism,['History of technology'],Which modern scientific field has benefited most from studying the Antikythera Mechanism?,0,0,0
Hedy Lamarr,['An Austrian-American actress and inventor'],Who was Hedy Lamarr?,0,,
Hedy Lamarr,['Austria'],In which country was Hedy Lamarr born?,0,,
Hedy Lamarr,['Hedwig Eva Maria Kiesler'],What was Hedy Lamarr’s birth name?,1,,1
Hedy Lamarr,['Frequency-hopping spread spectrum'],Which scientific invention is Hedy Lamarr famous for co-developing?,1,,1
Hedy Lamarr,['To prevent torpedo signal jamming in World War II'],Which war-time effort was Hedy Lamarr's invention initially designed for?,0,,0
Hedy Lamarr,['George Antheil'],Who co-developed frequency-hopping spread spectrum technology with Hedy Lamarr?,1,,1
Hedy Lamarr,['Wi-Fi and Bluetooth'],Which modern technologies were influenced by Hedy Lamarr’s invention?,0,,0
Hedy Lamarr,['Metro-Goldwyn-Mayer (MGM)'],Which Hollywood studio signed Hedy Lamarr in the 1930s?,1,,1
Hedy Lamarr,['Ecstasy'],What controversial 1933 film featured Hedy Lamarr in a nude scene?,1,,1
Hedy Lamarr,['Samson and Delilah'],Which 1940s film helped establish Hedy Lamarr as a Hollywood star?,0,0,0
Hedy Lamarr,['Samson and Delilah'],Which 1940s film helped establish Hedy Lamarr as a Hollywood star?,0,0,0
Hedy Lamarr,['Engineering and inventing'],What was one of Hedy Lamarr’s lesser-known hobbies?,0,0,0
Hedy Lamarr,['Secret communication system'],What type of patent did Hedy Lamarr and George Antheil receive for their invention?,0,0,0
Hedy Lamarr,['She was primarily known as an actress'],Why was Hedy Lamarr’s scientific work largely ignored during her lifetime?,0,0,0
Hedy Lamarr,['Electronic Frontier Foundation (EFF)'],Which organization awarded Hedy Lamarr recognition for her scientific contributions in 1997?,1,1,1
Hedy Lamarr,['U.S. Navy'],Which U.S. military branch initially rejected Hedy Lamarr’s frequency-hopping technology?,0,0,0
Hedy Lamarr,['Financial difficulties'],Which personal struggle did Hedy Lamarr face later in life?,0,0,0
Hedy Lamarr,['United States'],Which country did Hedy Lamarr become a citizen of?,1,1,1
Hedy Lamarr,['2000'],What year did Hedy Lamarr pass away?,1,1,1
Hedy Lamarr,['Induction into the National Inventors Hall of Fame'],Which prestigious scientific honor was awarded to Hedy Lamarr posthumously?,0,1,1
Book of Revelation,['Book of Revelation'],Which book of the Bible describes the end times and the Apocalypse?,1,,
Book of Revelation,['John of Patmos'],Who is traditionally credited as the author of the Book of Revelation?,1,,
Book of Revelation,['Patmos'],On which island did John of Patmos receive the visions recorded in Revelation?,1,,1
Book of Revelation,['666'],What is the number of the Beast mentioned in Revelation?,1,,1
Book of Revelation,['The Four Horsemen'],Which four figures appear in Revelation as harbingers of the end times?,1,,1
Book of Revelation,['Pale'],What color is the horse associated with Death in Revelation?,1,,1
Book of Revelation,['Armageddon'],What does the Book of Revelation describe as the final battle between good and evil?,1,,1
Book of Revelation,['Rome'],Which city is symbolically referred to as 'Babylon' in Revelation?,1,,1
Book of Revelation,['Great White Throne Judgment'],What is the name of the great final judgment in Revelation?,1,,1
Book of Revelation,['The Scroll of Destiny'],What is the name of the scroll with seven seals in Revelation?,0,,0
Book of Revelation,['The Lamb (Jesus Christ)'],Who is described as worthy to open the seven seals of the scroll?,0,0,0
Book of Revelation,['Lake of Fire'],What is the name of the lake into which the wicked are cast in Revelation?,1,1,1
Book of Revelation,['A city descending from heaven'],What is the New Jerusalem described as in Revelation?,0,0,0
Book of Revelation,['Seven'],How many plagues are described in Revelation as part of God's judgment?,1,1,1
Book of Revelation,['The Beast from the Earth'],What is the symbolic name given to the false prophet in Revelation?,0,0,0
Book of Revelation,['The Church or Israel'],What is the symbolic meaning of the Woman clothed with the Sun in Revelation?,0,0,0
Book of Revelation,['Michael'],Which angel is said to bind Satan for a thousand years in Revelation?,1,1,1
Book of Revelation,"['1,000 years']",How long is Satan imprisoned according to Revelation?,1,1,1
Book of Revelation,['The River of Life'],What is the river flowing from the throne of God in the New Jerusalem called?,0,0,0
Book of Revelation,['Tree of Life'],What tree is said to bring healing to the nations in Revelation?,0,0,0
Bhagavad Gita,['A Hindu scripture that is part of the Mahabharata'],What is the Bhagavad Gita?,0,,
Bhagavad Gita,['Mahabharata'],Which epic is the Bhagavad Gita a part of?,1,,
Bhagavad Gita,['Krishna'],Who is the main speaker in the Bhagavad Gita?,1,,1
Bhagavad Gita,['Arjuna'],Who is the main listener and recipient of Krishna’s teachings in the Bhagavad Gita?,1,,1
Bhagavad Gita,['The battlefield of Kurukshetra'],What is the setting of the Bhagavad Gita?,1,,1
Bhagavad Gita,['Dharma'],Which concept in the Bhagavad Gita refers to selfless duty?,0,,0
Bhagavad Gita,['Liberation (Moksha)'],What is the ultimate goal of life according to the Bhagavad Gita?,0,,0
Bhagavad Gita,['Bhakti Yoga (Path of Devotion)'],Which form of yoga does Krishna emphasize as the highest path to liberation?,0,,0
Bhagavad Gita,['He is the Supreme God'],What does Krishna reveal about himself in the Bhagavad Gita?,0,,0
Bhagavad Gita,['2.47'],Which verse in the Bhagavad Gita is often cited as promoting detached action?,0,,0
Bhagavad Gita,['Whether to fight in the war against his own relatives'],What is Arjuna’s main moral dilemma in the Bhagavad Gita?,0,0,0
Bhagavad Gita,['Vedanta'],Which philosophical system is most associated with the Bhagavad Gita?,1,0,1
Bhagavad Gita,['It is eternal and cannot be destroyed'],What does Krishna tell Arjuna about the nature of the soul?,0,0,0
Bhagavad Gita,"['Sattva, Rajas, Tamas']",Which three gunas (modes of nature) does the Bhagavad Gita describe?,0,0,0
Bhagavad Gita,['It is the most direct path to God'],What role does devotion (Bhakti) play in the Bhagavad Gita?,0,0,0
Bhagavad Gita,['Actions should be performed selflessly without attachment to results'],What is the importance of karma in the Bhagavad Gita?,0,0,0
Bhagavad Gita,['Vishvarupa (Universal Form)'],Which form of Krishna does he reveal to Arjuna in the Bhagavad Gita?,0,0,0
Bhagavad Gita,['All sincere paths lead to Him'],What does Krishna say about the different paths to spiritual liberation?,0,0,0
Bhagavad Gita,['Chapter 11'],Which chapter of the Bhagavad Gita contains Krishna’s cosmic form revelation?,1,1,1
Bhagavad Gita,['Surrender to Me alone and I will free you from all sins'],What does Krishna say about surrender in the final chapter of the Bhagavad Gita?,0,0,0
Hashima Island,['Battleship Island'],What is Hashima Island commonly known as?,1,,
Hashima Island,['Japan'],Which country is Hashima Island a part of?,1,,
Hashima Island,['Coal mining'],What industry led to the development of Hashima Island?,1,,1
Hashima Island,['Mitsubishi'],Which company originally operated the coal mine on Hashima Island?,1,,1
Hashima Island,['20th century'],During which century was Hashima Island at its peak population?,1,,1
Hashima Island,['The decline of coal mining'],What was the main reason for Hashima Island’s abandonment?,0,,0
Hashima Island,['Nagasaki'],Which city is Hashima Island closest to?,1,,1
Hashima Island,['1974'],What year was Hashima Island completely abandoned?,1,,0
Hashima Island,['Dense concrete apartment blocks'],What unique architectural feature made Hashima Island notable?,0,,0
Hashima Island,['UNESCO'],Which global organization designated Hashima Island as a World Heritage Site?,1,,1
Hashima Island,['Forced labor during World War II'],What was a controversial aspect of Hashima Island's history?,0,0,0
Hashima Island,['Skyfall'],Which James Bond movie featured Hashima Island as inspiration for a villain’s lair?,0,0,0
Hashima Island,['Pacific Ocean'],Which ocean surrounds Hashima Island?,0,0,0
Hashima Island,['Boat'],Which mode of transport was primarily used to reach Hashima Island?,0,0,0
Hashima Island,['Collapsing buildings'],What is a significant hazard for visitors to Hashima Island today?,0,0,0
Hashima Island,['Concrete'],What material were most of Hashima Island's buildings constructed from?,1,0,0
Hashima Island,['Major coal production center'],What role did Hashima Island play in Japan’s industrialization?,0,0,0
Hashima Island,['South Korea'],Which neighboring country has protested Japan’s World Heritage recognition of Hashima Island?,1,1,1
Hashima Island,"['Over 5,000']",What is the estimated highest recorded population of Hashima Island?,0,0,0
Hashima Island,['Abandoned ruins'],Which term best describes Hashima Island today?,0,0,0
