index,question,answer
5900,Who is the author of The New Science?,"[""Giambattista Vico"", ""Gianbattista Vico"", ""Giovan Battista Vico""]"
5925,Who is the author of The Visitor?,"[""Roald Dahl"", ""Wing Commander Roald Dahl""]"
5950,Who was the composer of Starship Trooper?,"[""Chris Squire"", ""Christopher Russell Edward Squire"", ""Steve Howe"", ""Stephen James Howe"", ""Jon Anderson"", ""John Roy Anderson""]"
5975,What is Ho the capital of?,"[""Volta Region"", ""Togoland"", ""British Togoland"", ""British Togoland""]"
6000,Who was the director of One on One?,"[""Kim Ki-duk"", ""Ki-duk Kim"", ""Kim Gi-deok""]"
6025,Who was the director of Flying?,"[""Paul Lynch""]"
6050,Who was the director of Cover?,"[""Bill Duke""]"
6075,Who was the composer of The Falls?,"[""Michael Nyman"", ""Michael Laurence Nyman""]"
6100,Who is the author of Beautiful You?,"[""Chuck Palahniuk"", ""Charles Michael \""Chuck\"" Palahniuk""]"
6125,Who was the director of Downloaded?,"[""Alex Winter"", ""Alexander Ross Winter""]"
6150,Who was the screenwriter for The Truth?,"[""Véra Clouzot"", ""Vera Clouzot"", ""Henri-Georges Clouzot""]"
6175,Who was the producer of The Journey?,"[""Anatole Litvak""]"
6200,Who was the producer of Xxplosive?,"[""Dr. Dre"", ""Andre Romelle Young"", ""The Mechanic"", ""Brickhard""]"
6225,Who was the screenwriter for Within?,"[""Chris Carter"", ""Christopher Carl Carter""]"
6250,Who was the director of Carried Away?,"[""Bruno Barreto""]"
6275,What genre is Hollow?,"[""heavy metal"", ""heavy metal music"", ""Heavy Metal"", ""Metal"", ""Metal music"", ""metal"", ""Heavy Metal Music""]"
6300,What genre is Kid Dracula?,"[""platform game"", ""platformer"", ""Platform video games""]"
6325,Who was the composer of Fascinating Rhythm?,"[""George Gershwin"", ""Jacob Gershvin"", ""Jacob Bruskin Gershowitz"", ""George Jacob Gershwin"", ""Dzhordzh Gershvin""]"
6350,Who is the author of Midnight?,"[""Dean Koontz"", ""Dean Ray Koontz"", ""Aaron Wolfe"", ""Brian Coffey"", ""David Axton"", ""Deanna Dwyer"", ""John Hill"", ""K.R. Dwyer"", ""Leigh Nichols"", ""Anthony North"", ""Owen West"", ""Richard Paige""]"
6375,What genre is Enter?,"[""gothic metal"", ""goth metal""]"
6400,What sport does Amdy Faye play?,"[""association football"", ""football"", ""soccer""]"
6425,Who was the screenwriter for Premi?,"[""Rabi Kinagi"", ""Ravi Kinagi"", ""Rabi Kinnagi""]"
6450,Who was the director of Blue?,"[""Silvio Narizzano""]"
6475,What sport does World Triathlon play?,"[""triathlon""]"
6500,Who was the composer of Beijing Bicycle?,"[""Wang Feng""]"
6525,What genre is Discount?,"[""punk rock"", ""punk"", ""punk music""]"
6550,Who is the author of Skyhigh?,"[""Tsutomu Takahashi""]"
6575,Who was the producer of For Better or Worse?,"[""Jeff Nathanson""]"
6600,What is Frederick the capital of?,"[""Tillman County"", ""Tillman County, Oklahoma""]"
6625,What is Sudarshan Faakir's occupation?,"[""lyricist"", ""singer-lyricist""]"
6650,Who was the producer of I Do?,"[""Alain Chabat""]"
6675,Who was the composer of See You?,"[""Martin Gore"", ""Martin Lee Gore"", ""Martin L. Gore""]"
6700,What is the capital of Merthyr Tydfil County Borough?,"[""Merthyr Tydfil"", ""Merthyr Tudful"", ""Merthyr-Tydvil""]"
6725,Who was the screenwriter for The Ballad of Narayama?,"[""Keisuke Kinoshita""]"
6750,Who is the mother of Margaret of Sicily?,"[""Isabella of England"", ""ISABELLA d'Inghilterra, regina di Sicilia, imperatrice""]"
6775,Who is the father of Qasim ibn Muhammad ibn Abi Bakr?,"[""Muhammad ibn Abi Bakr"", ""محمد بن أبي بكر""]"
6800,Who is the author of Camino Real?,"[""Tennessee Williams"", ""Thomas Lanier Williams III"", ""Thomas Lanier Williams"", ""Thomas Williams""]"
6825,Who was the screenwriter for The Actors?,"[""Conor McPherson""]"
6850,Who was the composer of Woman of the Year?,"[""John Kander"", ""John Harold Kander""]"
6875,Who was the director of Trio?,"[""Harold French"", ""Ken Annakin"", ""Kenneth Cooper Annakin""]"
6900,Who was the screenwriter for 100?,"[""Tina Fey"", ""Elizabeth Stamatina \""Tina\"" Fey"", ""Elizabeth Stamatina Fey"", ""Jack Burditt"", ""Robert Carlock"", ""Robert Morgan Carlock""]"
6925,What genre is Something Happens?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]"
6950,What genre is Me & My?,"[""Eurodance"", ""Euro-dance"", ""Euro dance""]"
6975,Who was the director of The Navigator?,"[""Buster Keaton"", ""Joseph Frank Keaton"", ""Joseph F. Keaton"", ""Joseph Keaton"", ""Joseph Francis Keaton"", ""Frigo"", ""Donald Crisp"", ""George William Crisp"", ""Donald William Crisp""]"
7000,Who was the screenwriter for The Chairman?,"[""Ben Maddow""]"
7025,What genre is Console?,"[""electronic music"", ""electrosonic""]"
7050,Who was the director of The Guru?,"[""James Ivory""]"
7075,Who was the screenwriter for The Greater Good?,"[""Leonard Dick""]"
7100,Who was the screenwriter for Endurance?,"[""Leslie Woodhead""]"
7125,Who was the producer of The Moment?,"[""Kenny G"", ""Kenneth Bruce Gorelick""]"
7150,What genre is Special?,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi"", ""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]"
7175,Who was the composer of Number Pieces?,"[""John Cage"", ""John Milton Cage Jr."", ""John Milton Cage, Jr."", ""John Milton, Jr. Cage"", ""J. C.""]"
7200,Who is the author of A Boy's Own Story?,"[""Edmund White"", ""Edmund Valentine White III""]"
7225,What genre is Johnny Harris?,"[""pop music"", ""pop"", ""Pop""]"
7250,What is the religion of Wim Eijk?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]"
7275,Who was the screenwriter for Sal?,"[""James Franco"", ""James Edward Franco""]"
7300,What genre is Terri?,"[""teen film"", ""teen movie"", ""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]"
7325,Who was the director of Black and White?,"[""Craig Lahiff""]"
7350,In what city was Mapy Cortés born?,"[""Santurce"", ""San Mateo de Cangrejos"", ""Santurce Barrio"", ""Santurce, San Juan"", ""Santurce, Puerto Rico""]"
7375,What genre is York?,"[""downtempo"", ""chillout"", ""chill"", ""downbeat""]"
7400,Who is the father of Iorwerth Drwyndwn?,"[""Owain Gwynedd""]"
7425,Who was the producer of About Time?,"[""The Stranglers"", ""Stranglers"", ""Alan Winstanley"", ""Alan Kenneth Winstanley""]"
7450,Who was the producer of Because They Can?,"[""Gunnar Nelson"", ""Matthew Nelson""]"
7475,Who was the composer of Champion?,"[""Drake"", ""Aubrey Graham"", ""Aubrey Drake Graham"", ""Drizzy"", ""Champagne Papi"", ""Dios Plan""]"
7500,Who was the screenwriter for The Criminal Code?,"[""Martin Flavin"", ""Martin Archer Flavin""]"
7525,Who was the director of Submission?,"[""Salvatore Samperi""]"
7550,Who is the author of Couples?,"[""John Updike"", ""John Hoyer Updike""]"
7575,What genre is Door Door?,"[""platform game"", ""platformer"", ""Platform video games""]"
7600,What genre is Amarte Así?,"[""telenovela"", ""Spanish soap opera""]"
7625,Who was the director of The Weekend?,"[""Michael Cuesta""]"
7650,Who was the director of Dream?,"[""Kim Ki-duk"", ""Ki-duk Kim"", ""Kim Gi-deok""]"
7675,What genre is Disturbed?,"[""horror film"", ""horror movie""]"
7700,In what city was Alma Karlin born?,"[""Celje""]"
7725,Who was the producer of Positive?,"[""Farhan Akhtar"", ""Ritesh Sidhwani""]"
7750,Who was the screenwriter for In Another Country?,"[""Hong Sang-soo"", ""Hong Sang Soo""]"
7775,Who was the screenwriter for Send Out the Clowns?,"[""Jeffrey Richman""]"
7800,Who was the director of Atlantic?,"[""Ewald André Dupont"", ""Ewald Andre Dupont""]"
7825,Who is the father of Abel of Denmark?,"[""Valdemar II of Denmark""]"
7850,What is the capital of Fareham?,"[""Fareham""]"
7875,What genre is Really Me?,"[""teen sitcom"", ""teen situation comedy""]"
7900,Who was the screenwriter for Mash-Up?,"[""Ian Brennan""]"
7925,Who was the screenwriter for The Take?,"[""Naomi Klein""]"
7950,What is the capital of Unity?,"[""Bentiu""]"
7975,Who is the author of Riders in the Chariot?,"[""Patrick White"", ""Patrick Victor Martindale White"", ""Alex Xenophon Demirjian Gray""]"
8000,Who was the screenwriter for On the Day Before?,"[""Aaron Sorkin"", ""Aaron Benjamin Sorkin"", ""Paul Redford""]"
8025,Who is the author of Da?,"[""Hugh Leonard""]"
8050,What genre is Beautiful Darling?,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]"
8075,Who is the author of The Servile State?,"[""Hilaire Belloc"", ""Hilaire Pierre Belloc"", ""Joseph Hilaire Pierre René Belloc""]"
8100,Who is the father of Mu?,"[""Wideok"", ""Wideok of Baekje""]"
8125,What genre is I Am I?,"[""heavy metal"", ""heavy metal music"", ""Heavy Metal"", ""Metal"", ""Metal music"", ""metal"", ""Heavy Metal Music""]"
8150,Who was the screenwriter for Our Relations?,"[""Stan Laurel"", ""Arthur Stanley Jefferson""]"
8175,Who was the producer of Epic?,"[""Yoram Gross"", ""Yoram Jerzy Gross"", ""Yoram J Gross"", ""Yoram J. Gross""]"
8200,Who is the author of Honour?,"[""Joanna Murray-Smith""]"
8225,In what city was Nissim of Gerona born?,"[""Girona"", ""Girona, Spain"", ""Gérone"", ""Gerone"", ""Gerona"", ""Gerona, Spain"", ""Girona, Catalonia""]"
8250,Who is the father of Praxedes?,"[""Saint Pudens""]"
8275,In what city was Aina Kusuda born?,"[""Chiba Prefecture""]"
8300,Who was the screenwriter for Resistance?,"[""Anita Shreve"", ""Anita Hale Shreve""]"
8325,Who is the author of Election?,"[""Tom Perrotta""]"
8350,Who was the screenwriter for Victim?,"[""Ashley Chin"", ""Ashley Anthony Chin""]"
8375,Who was the composer of Celebration?,"[""Wiz Khalifa"", ""Cameron Thomaz"", ""Cameron Jibril Thomaz"", ""Lil Wayne"", ""Dwayne Carter"", ""Dwayne Michael Carter Jr."", ""Tunechi"", ""Weezy F. Baby"", ""The President"", ""Baby D"", ""Tyga"", ""Micheal Ray Stevenson"", ""Micheal Stevenson"", ""T-Raww""]"
8400,Who was the director of The Cook?,"[""Roscoe Arbuckle"", ""Fatty Arbuckle"", ""Roscoe Conkling Arbuckle"", ""William Goodrich""]"
8425,Who was the screenwriter for The Mirror?,"[""Jafar Panahi""]"
8450,Who was the screenwriter for The Misfortunates?,"[""Dimitri Verhulst"", ""Felix Van Groeningen""]"
8475,Who was the producer of Vic?,"[""Sage Stallone"", ""Sage Moonblood Stallone""]"
8500,Who was the screenwriter for The Boat?,"[""Buster Keaton"", ""Joseph Frank Keaton"", ""Joseph F. Keaton"", ""Joseph Keaton"", ""Joseph Francis Keaton"", ""Frigo""]"
8525,Who was the composer of Think About You?,"[""Izzy Stradlin"", ""Jeffrey Dean Isbell""]"
8550,Who was the composer of Not Like the Movies?,"[""Greg Wells"", ""00248553252 IPI"", ""00248553350 IPI"", ""William Gregory Wells"", ""Katy Perry"", ""Katheryn Elizabeth Hudson Perry"", ""Katheryn Elizabeth Hudson"", ""Katheryn Hudson"", ""Katy Hudson"", ""Katheryn Perry""]"
8575,Who was the producer of The Island?,"[""Kamen Kalev""]"
8600,Who is the author of Something Good?,"[""Richard Rodgers"", ""Richard Charles Rodgers""]"
8625,What genre is South by Java Head?,"[""World War II"", ""WW2"", ""World War Two"", ""2nd World War"", ""WWII"", ""World War 2"", ""the Second World War"", ""Second World War"", ""WW 2"", ""WW II"", ""II World War""]"
8650,Who was the director of Arsenal?,"[""Oleksandr Dovzhenko"", ""Alexander Petrovich Dovzhenko"", ""Oleksander Petrovych Dovzhenko"", ""Oleksandr Petrovych Dovzhenko"", ""Oleksander Dovzhenko""]"
8675,What genre is Servant?,"[""Christian rock""]"
8700,In what country is Brooks?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]"
8725,Who was the screenwriter for Training Day?,"[""Adam Reed"", ""Adam Brooks Reed""]"
8750,Who was the director of The Capture?,"[""John Sturges"", ""John Eliot Sturges"", ""John Elliott Sturges"", ""Capt John Sturges""]"
8775,What genre is Shine?,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz"", ""Jazz""]"
8800,Who is the author of Variant?,"[""Robison Wells""]"
8825,What genre is The Circle?,"[""young adult literature"", ""juvenile fiction"", ""YA"", ""youth literature"", ""juvenile literature"", ""young adult fiction"", ""YA literature"", ""YA fiction"", ""horror literature""]"
8850,Who is the author of Rose Hip Rose?,"[""Tooru Fujisawa"", ""Tōru Fujisawa"", ""Fujisawa Tōru"", ""Toru Fujisawa"", ""Fujisawa Toru"", ""Tohru Fujisawa""]"
8875,What genre is Adhesive?,"[""punk rock"", ""punk"", ""punk music""]"
8900,In what country is Eustace?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]"
8925,"Who is the father of William de Mandeville, 3rd Earl of Essex?","[""Geoffrey de Mandeville, 1st Earl of Essex""]"
8950,Who is the author of Romance?,"[""Ford Madox Ford"", ""Ford Hermann Hueffer"", ""Ford Madox Hueffer"", ""Joseph Leopold Ford Hermann Madox Hueffer"", ""Joseph Conrad"", ""Jozef Teodor Konrad Korzeniowski""]"
8975,Who is the author of Tempo and Mode in Evolution?,"[""George Gaylord Simpson"", ""Simpson""]"
9000,Who was the director of Hari-Bhari?,"[""Shyam Benegal""]"
9025,In what country is Stanley?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]"
9050,What sport does Roosevelt Chapman play?,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB"", ""Basketball""]"
9075,Who is the author of Enter the Saint?,"[""Leslie Charteris"", ""Leslie Charles Bowyer-Yin""]"
9100,Who was the director of Framed?,"[""Dean Parisot"", ""Aldo L. Parisot"", ""Aldo Luis Parisot""]"
9125,What genre is Timeless Records?,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz"", ""Jazz""]"
9150,Who was the director of Cool It?,"[""Ondi Timoner""]"
9175,What is Mariví Bilbao's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]"
9200,Who is the author of Trends?,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]"
9225,Who is the author of The Wind?,"[""Dorothy Scarborough"", ""Emily Dorothy Scarborough""]"
9250,Who was the screenwriter for The Betrayal?,"[""Oscar Micheaux"", ""Oscar Devereaux Micheaux""]"
9275,Who is the father of Remco Campert?,"[""Jan Campert"", ""Jan Remco Theodoor Campert""]"
9300,Who is the author of She Is the Darkness?,"[""Glen Cook"", ""Greg Stevens"", ""Glen Charles Cook""]"
9325,Who was the producer of Fear?,"[""Oskar Messter""]"
9350,What genre is Off the Black?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]"
9375,Who is the father of Mojmir II?,"[""Svatopluk I""]"
9400,Who was the screenwriter for The Gamble?,"[""Carlo Vanzina""]"
9425,Who was the composer of Thaalikaatha Kaaliamman?,"[""Sirpy""]"
9450,Who was the screenwriter for Come Play with Me?,"[""Salvatore Samperi""]"
9475,Who was the screenwriter for Broadway?,"[""George Abbott"", ""George Francis Abbott""]"
9500,Who is the author of The Flood?,"[""Ian Rankin"", ""Jack Harvey (pseudonym)"", ""Jack Harvey""]"
9525,Who was the composer of The Bolt?,"[""Dmitri Shostakovich"", ""Shostakovich"", ""Shosty"", ""Dmitrii Dmitrievich Shostakovich"", ""Dmitrij Šostakovič"", ""Dmitri Dmitrievitch Chostakovitch"", ""Dimitri Shostakovich""]"
9550,Who was the producer of Glass?,"[""Bert Haanstra"", ""Albert Haanstra""]"
9575,Who was the screenwriter for Escape?,"[""Philip Dunne"", ""Philip Ives Dunne""]"
9600,Who was the screenwriter for India: Matri Bhumi?,"[""Fereydoon Hoveyda""]"
9625,Who is the father of Irene Laskarina?,"[""Theodore I Laskaris""]"
9650,Who was the director of Making Angels?,"[""Charles Beeson""]"
9675,Who was the composer of Islands?,"[""Robert Fripp""]"
9700,Who was the director of The Man in Half Moon Street?,"[""Ralph Murphy""]"
9750,What genre is Infinity?,"[""acid house"", ""acid""]"
9775,Who was the director of Frozen?,"[""Derek Kwok"", ""Derek Kwok Chi-Kin"", ""Chi-kin Kwok""]"
9800,In what country is Zing?,"[""Nigeria"", ""Federal Republic of Nigeria"", ""🇳🇬"", ""NG"", ""FRN"", ""NGA"", ""NGR"", ""Naija""]"
9825,Who is the author of Those Who Hunt the Night?,"[""Barbara Hambly"", ""Barbara Hamilton (pseudonym)"", ""Barbara Hamilton""]"
9850,In what country is Little River?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]"
9875,Who is the author of Stay?,"[""Nicola Griffith""]"
9900,Who was the director of Pump?,"[""Josh Tickell"", ""Rebecca Harrell Tickell"", ""Rebecca Reynolds Harrell Tickell""]"
9925,Who was the director of Election?,"[""Om Prakash Rao""]"
9950,Who is the author of Landscape?,"[""Harold Pinter""]"
9975,What genre is A Brokedown Melody?,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]"
10000,In what city was Rose Bampton born?,"[""Lakewood"", ""Lakewood, Ohio""]"
10025,Who was the screenwriter for Walking?,"[""Ryan Larkin""]"
10050,Who is the author of Silver?,"[""Andrew Motion"", ""Sir Andrew Motion""]"
10075,Who is the author of Broken?,"[""Kelley Armstrong"", ""Sarah""]"
10100,Who was the screenwriter for Tears?,"[""Im Sang-soo""]"
10125,Who is the author of White Line Fever?,"[""Lemmy Kilmister"", ""Ian Fraser Kilmister"", ""Ian Kilmister"", ""Lemmy""]"
10150,What genre is Need to Believe?,"[""hard rock""]"
10175,Who is the author of Need?,"[""Carrie Jones""]"
10200,What genre is Chess with Friends?,"[""chess"", ""International Chess"", ""Modern European Chess"", ""Western Chess"", ""chess game""]"
10225,Who is the mother of Princess Marie Gabriele of Luxembourg?,"[""Charlotte, Grand Duchess of Luxembourg"", ""Grand Duchess Charlotte of Luxembourg"", ""Charlotte I"", ""Charlotte""]"
10250,In what city was Giuseppe Bezzuoli born?,"[""Florence"", ""Firenze"", ""Florence, Italy"", ""Florence, Tuscany"", ""Florencia"", ""Florentia"", ""Florenz"", ""Firenca"", ""Florencie"", ""Fiuränza"", ""Florentzia"", ""Firense"", ""Firenz"", ""Firenzi""]"
10275,Who was the director of Georgia?,"[""Ben Lewin""]"
10300,Who was the director of The Final Test?,"[""Anthony Asquith"", ""Hon. Anthony Asquith"", ""Anthony William Lowell Asquith""]"
10325,Who is the author of The Isle of Voices?,"[""Robert Louis Stevenson"", ""Robert Lewis Balfour Stevenson"", ""Robert Luis Stivensoni"", ""Shih-ti-wen-sheng"", ""Stivenson"", ""Robert Loui Sitivensin"", ""Robert Louis Balfour Stevenson"", ""Robert Lui Stivenson"", ""RL Stivenson"", ""RL Stevenson"", ""RLS""]"
10350,Who was the director of Lizards?,"[""Allan Arkush""]"
10375,Who is the author of The Merry Men and Other Tales and Fables?,"[""Robert Louis Stevenson"", ""Robert Lewis Balfour Stevenson"", ""Robert Luis Stivensoni"", ""Shih-ti-wen-sheng"", ""Stivenson"", ""Robert Loui Sitivensin"", ""Robert Louis Balfour Stevenson"", ""Robert Lui Stivenson"", ""RL Stivenson"", ""RL Stevenson"", ""RLS""]"
10400,What is Siegfried Czapski's occupation?,"[""physicist""]"
10425,Who is the author of Bad Habits?,"[""Terrence McNally""]"
10450,In what country is Peru?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]"
10475,Who is the author of Question?,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]"
10500,Who was the director of Kandathum Kettathum?,"[""Balachandra Menon""]"
10525,Who was the producer of The Gun?,"[""William Link"", ""William Theodore Link""]"
10550,Who was the producer of Freak?,"[""David Guetta"", ""Pierre David Guetta"", ""Jack Back""]"
10575,Who is the author of Up Till Now: The Autobiography?,"[""William Shatner"", ""Bill Shatner""]"
10600,Who is the father of Pierre Guillaumat?,"[""Adolphe Guillaumat"", ""Marie Louis Adolphe Guillaumat""]"
10625,Who was the screenwriter for Brake Fail?,"[""Kaushik Ganguly""]"
10650,Who is the author of The Fruits of Enlightenment?,"[""Leo Tolstoy"", ""Tolstoi"", ""Tolstoy"", ""Lev Nikolaevich, graf Tolstoĭ"", ""Lev Nikolayevich, Count Tolstoy"", ""Count Lev Tolstoy"", ""Leo, graf Tolstoy"", ""Lev, Count Tolstoy"", ""Lev, graf Tolsztoj"", ""Лев Николаевич,"", ""c граф Толстой"", ""Lew, graf Tolstoi"", ""Lev Nikolaevich Tolstoy"", ""Lev Tolstoy"", ""Count Leo Tolstoy""]"
10675,Who was the director of News Night 2.0?,"[""Alex Graves"", ""Alexander Graves"", ""Alexander John Graves""]"
10700,Who was the director of Go Go Amigo?,"[""Robert McKimson"", ""Bob McKimson""]"
10725,In what city was János Ferencsik born?,"[""Budapest"", ""Buda Pest"", ""Buda-Pest"", ""Budapešť"", ""Budapesta"", ""Budapeszt"", ""Buda"", ""Ofen"", ""Budín"", ""Budim"", ""Budon"", ""Pest"", ""Pešť"", ""Pešta"", ""Óbuda"", ""Alt-Ofen"", ""Kőbánya""]"
10750,Who was the screenwriter for Nine Lives Are Not Enough?,"[""Fred Niblo, Jr.""]"
10775,What sport does Billy Dennehy play?,"[""association football"", ""football"", ""soccer""]"
10800,Who is the author of Palmetto Leaves?,"[""Harriet Beecher Stowe"", ""Christopher Crowfield"", ""Harriet Elizabeth Beecher Stowe"", ""Enrieta Elizabeth Beecher Stowe"", ""Harriet Elizabeth Beecher"", ""Harriet Elisabeth Beecher Stowe""]"
10825,Who was the composer of La bella dormente nel bosco?,"[""Ottorino Respighi""]"
10850,In what country is The Met?,"[""Thailand"", ""Kingdom of Thailand"", ""th"", ""Siam"", ""🇹🇭"", ""Land of Smiles"", ""THA""]"
10875,In what city was Glover Morrill Allen born?,"[""Walpole"", ""Walpole, New Hampshire"", ""Walpole N.H."", ""Walpole NH""]"
10900,What genre is Beyond the Wall of Sleep?,"[""fantasy"", ""fantasy fiction"", ""horror literature"", ""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sci fi"", ""sciencefiction"", ""short story"", ""tale"", ""pripovijetka""]"
10925,Who is the author of Come and Get It?,"[""Edna Ferber""]"
10950,In what country is Mullsjö Municipality?,"[""Sweden"", ""Kingdom of Sweden"", ""SE"", ""se"", ""SWE"", ""🇸🇪""]"
10975,In what city was Cooper Smeaton born?,"[""Carleton Place""]"
11000,In what city was Julia Jones born?,"[""Droitwich Spa"", ""Droitwich Spa, Worcestershire"", ""Droitwich""]"
11025,Who was the director of Sunset Limousine?,"[""Terry Hughes""]"
11050,Who was the director of Le cousin?,"[""Alain Corneau""]"
11075,In what city was Johann Heinrich Roos born?,"[""Otterberg""]"
11100,Who was the composer of Spiral?,"[""Karlheinz Stockhausen"", ""Karl-Heinz Stockhausen"", ""Karlheinz Stockhausen""]"
11125,Who was the director of Hell on Wheels?,"[""David Von Ancken""]"
11150,Who is the author of The Curious Room?,"[""Angela Carter"", ""Angela Olive Stalker Carter"", ""Angela Olive Carter"", ""Angela Olive Stalker"", ""Angela Olive Pearce""]"
11175,Who was the screenwriter for Viva Zapatero!?,"[""Sabina Guzzanti""]"
11200,Who is the author of The Cat?,"[""Georges Simenon"", ""Georges Joseph Christian Simenon"", ""Simenon""]"
11225,In what country is Institute of Technological Studies?,"[""Sri Lanka"", ""Democratic Socialist Republic of Sri Lanka"", ""Ceylon"", ""Taprobane"", ""Serendib"", ""Ceylan"", ""🇱🇰"", ""lk"", ""Lanka, Sri"", ""sri"", ""lke"", ""ce"", ""Srilanka"", ""SRI"", ""سرنديب"", ""سيلان""]"
11250,Who is the author of All in a Day?,"[""Mitsumasa Anno""]"
11275,Who is the author of A Moreninha?,"[""Joaquim Manuel de Macedo""]"
11300,Who was the screenwriter for Sun?,"[""Alessandro Blasetti""]"
11325,Who was the screenwriter for Snake Fang?,"[""Masoud Kimiai""]"
11350,Who is the author of Jack?,"[""John Farnham"", ""John Peter Farnham""]"
11375,What genre is Before Midnight?,"[""detective fiction"", ""detective and mystery fiction""]"
11400,Who is the mother of Maria Alekseyevna of Russia?,"[""Maria Miloslavskaya""]"
11425,Who was the director of The Heroes?,"[""Wu Ma"", ""Ng Ma""]"
11450,Who was the composer of All I Can Do?,"[""Dolly Parton"", ""Dolly Rebecca Parton""]"
11475,In what city was Petru Stoianov born?,"[""Vinga""]"
11500,Who was the director of The Canadian?,"[""William Beaudine"", ""William Washington Beaudine""]"
11525,What sport does Mike Edwards play?,"[""association football"", ""football"", ""soccer""]"
11550,What sport does Christian Lee play?,"[""association football"", ""football"", ""soccer""]"
11575,Who was the director of Say It Again?,"[""Gregory La Cava"", ""George Gregory LaCava"", ""George Lacava"", ""Gregory Lacava""]"
11600,What genre is Junction?,"[""puzzle video game"", ""puzzle game"", ""Puzzle video games"", ""puzzle/jigsaw video game""]"
11625,Who was the director of The White Suit?,"[""Lazar Ristovski""]"
11650,Who was the producer of Reporter?,"[""Ben Affleck"", ""Benjami Géza Affleck"", ""Benjamin Géza Affleck-Boldt"", ""Benjami Geza Affleck"", ""Benjamin Geza Affleck-Boldt""]"
11675,Who was the director of The City?,"[""Roy William Neill"", ""Roy Neill""]"
11700,In what city was Edu Nandlal born?,"[""Paramaribo""]"
11725,Who was the composer of New Year?,"[""Michael Tippett"", ""Sir Michael Kemp Tippett""]"
11750,What genre is Thomas Morris?,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz"", ""Jazz""]"
11775,Who was the director of Two?,"[""Werner Schroeter""]"
11800,Who is the author of Opening Night?,"[""Ngaio Marsh"", ""Edith Ngaio Marsh"", ""Dame Edith Ngaio Marsh""]"
11825,Who was the director of Hotel Splendide?,"[""Michael Powell"", ""Michael Latham Powell"", ""Powell""]"
11850,Who was the composer of Magic of Love?,"[""Yasutaka Nakata""]"
11875,Who is the author of Simon?,"[""Rosemary Sutcliff""]"
11900,Who was the director of Andrea?,"[""Carlos Rinaldi""]"
11925,Who is the author of Next?,"[""Terrence McNally""]"
11950,Who is the author of Now and Then?,"[""Joseph Heller""]"
