question,answer,baseline,index
Who was the producer of Smoke?,"[""Harvey Weinstein""]","The producer of the 1995 film ""Smoke"" was Robert Altman.",3800
Who was the producer of Daddy?,"[""Allu Aravind""]","The producer of the 2017 film ""Daddy"" was Guneet Monga.",3825
What is the capital of Baldwin County?,"[""Bay Minette"", ""Bay Minette, Alabama""]",The capital of Baldwin County is Bay Minette.,3850
Who is the author of Wanted?,"[""Mark Millar""]","The author of the comic book series ""Wanted"" is Mark Millar.",3875
Who was the producer of Hurt?,"[""Linda Perry""]","The producer of the song ""Hurt"" by Johnny Cash was Rick Rubin.",3900
What is the religion of Loon?,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]","Loon is a fictional character from the popular TV show ""The Office"". Loon is not a religious figure, and therefore does not have a religion.",3925
Who was the director of The Hour?,"[""Coky Giedroyc"", ""Mary Rose Helen Giedroyc""]","The director of the BBC television series ""The Hour"" was Ben Whishaw.",3950
Who was the composer of Passion?,"[""Stephen Sondheim"", ""Stephen Joshua Sondheim""]","The composer of the opera ""Passion"" is Jonathan Dove.",3975
Who was the producer of Seeking Justice?,"[""Tobey Maguire"", ""Tobias Vincent Maguire""]",The producer of Seeking Justice (2011) was Nicolas Chartier.,4000
Who is the author of Post Office?,"[""Charles Bukowski"", ""Henry Charles Bukowski"", ""Buk"", ""charles bukowski""]","The author of the novel ""Post Office"" is Charles Bukowski.",4025
What is the religion of Muhammad Qasim Nanautawi?,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]",Muhammad Qasim Nanautawi was a Muslim scholar and reformer. He was a follower of the Hanafi school of thought within Sunni Islam.,4050
In what country is Central Philippine University?,"[""Philippines"", ""Republic of the Philippines"", ""PH"", ""ph"", ""the Philippines"", ""Philippine Islands"", ""PHL"", ""RP"", ""🇵🇭"", ""PHI"", ""Pinas""]","Central Philippine University is located in Iloilo City, Philippines.",4075
Who was the producer of Another Year?,"[""Georgina Lowe""]","The producer of the 2010 film ""Another Year"" was Simon Chinn.",4100
Who was the producer of Spectrum?,"[""Billy Cobham"", ""William Emanuel Cobham""]","The producer of the 2015 film ""Spectre"" was Barbara Broccoli.",4125
Who was the screenwriter for The Church?,"[""Franco Ferrini"", ""Michele Soavi"", ""Soavi, Michele"", ""Dardano Sacchetti"", ""Dario Argento"", ""Sirio Bernadotte""]","The screenwriter for the 1989 horror film ""The Church"" was Fabrizio De Angelis.",4150
What is the capital of Appenzell Innerrhoden?,"[""Appenzell""]","A very specific question!

The capital of Appenzell Innerrhoden is Herisau.",4175
What is the religion of Mount St. Mary's University?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","Mount St. Mary's University is a Catholic university, and its official religion is Catholicism.",4200
Who was the screenwriter for What Just Happened?,"[""Art Linson""]","The screenwriter for the 2008 film ""What Just Happened"" was Art Linson.",4225
Who was the director of Sarah's Key?,"[""Gilles Paquet-Brenner""]","The director of the 2010 film ""Sarah's Key"" was Lucie Baroni.",4250
Who is the author of Tanya?,"[""Shneur Zalman of Liadi"", ""Rabbi Shneur Zalman of Liadi"", ""Alter Rebbe"", ""Baal HaTanya"", ""Baal HaTanya Vehashulchan Aruch"", ""Rabbi Shneur Zalman Baruchovitch""]","The author of ""Tanya"" is Jonathan Franzen.",4275
Who was the director of Plenty?,"[""Fred Schepisi"", ""Frederic Alan Schepisi""]","The director of the 1985 film ""Plenty"" was Fred Schepisi.",4300
Who was the director of Johnny?,"[""Mahendran""]","I think you meant to ask about the movie ""Donnie Darko"". If that's correct, the director of the movie ""Donnie Darko"" is Richard Kelly.",4325
Who was the screenwriter for The Monster?,"[""Crane Wilbur"", ""Erwin Crane Wilbur""]","There is no widely known film or TV show called ""The Monster"". However, there have been several films and TV shows with similar titles, such as ""The Monster Squad"" (1987), ""The Monster"" (2018), and ""The Monster of Phina"" (2019).

If you could provide more information or clarify which ""The Monster"" you are referring to, I would be happy to try and assist you further.",4350
Who was the screenwriter for The Shout?,"[""Robert Graves"", ""Robert von Ranke-Graves"", ""Robert Von Ranke-Graves"", ""Robert Ranke Graves"", ""Robert von Ranke Graves"", ""Jerzy Skolimowski""]","The screenwriter for the 1978 film ""The Shout"" was Robert Keser.",4375
Who was the producer of Mr. Baseball?,"[""Fred Schepisi"", ""Frederic Alan Schepisi""]","The producer of the 1992 film ""Mr. Baseball"" was Richard D. Zanuck.",4400
What color is Pan-Slavic colors?,"[""red"", ""red color""]","The Pan-Slavic colors are white, blue, and red.",4425
Who was the producer of Money?,"[""Ram Gopal Varma"", ""RGV"", ""Penmetsa Ram Gopal Varma""]","The producer of the 2016 film ""Money"" was Farhan Akhtar.",4450
Who is the author of Thinking of You?,"[""Katy Perry"", ""Katheryn Elizabeth Hudson Perry"", ""Katheryn Elizabeth Hudson"", ""Katheryn Hudson"", ""Katy Hudson"", ""Katheryn Perry""]","The author of ""Thinking of You"" is Jenny Colgan.",4475
What genre is Fernando Sor?,"[""opera"", ""lyric drama"", ""European opera"", ""Western classical opera""]","Fernando Sor was a Spanish classical guitarist and composer. His music is primarily classified as Classical music, specifically within the Romantic era.",4500
Who is the author of The Client?,"[""John Grisham"", ""John Ray Grisham, Jr."", ""John Ray Grisham Jr""]",The author of The Client is John Grisham.,4525
What is Soria the capital of?,"[""Soria Province"", ""Soria""]","Soria is the capital of the autonomous community of Castile and León, Spain.",4550
Who was the screenwriter for Je t'aime moi non plus?,"[""Serge Gainsbourg"", ""Lucien Ginsburg""]","The screenwriter for the 1969 film ""Je t'aime moi non plus"" was Jean-Luc Godard.",4575
Who was the screenwriter for As It Is in Heaven?,"[""Kay Pollak"", ""Kay Gunnar Leopold Pollak""]","The screenwriter for the 2004 Swedish film ""As It Is in Heaven"" is Kay Pollak.",4600
Who was the composer of Violin Concerto?,"[""Jean Sibelius"", ""Johan Julius Christian Sibelius"", ""Sibelius""]",The composer of the Violin Concerto is Pyotr Ilyich Tchaikovsky.,4625
Who was the screenwriter for The Cardinal?,"[""Robert Dozier""]","The screenwriter for the 1963 film ""The Cardinal"" was Ring Lardner Jr.",4650
Who was the composer of The Killer Elite?,"[""Jerry Fielding"", ""Joshua Itzhak Feldman""]","The composer of the 1975 film ""The Killer Elite"" was Roy Budd.",4675
Who was the director of Holiday?,"[""George Cukor"", ""George Dewey Cukor""]","The director of the 2018 film ""Holiday"" is Isabella Rossellini.",4700
What genre is The Secret?,"[""thriller"", ""suspense"", ""thriller television program"", ""thriller TV program"", ""thriller television show"", ""thriller TV show"", ""suspense television program"", ""suspense TV program"", ""suspense television show"", ""suspense TV show""]",The Secret (2006) is a self-help film that falls under the genre of Inspirational/Motivational Film.,4725
What genre is Breathe?,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]",Breathe is a British drama television series that falls under the genre of Historical Drama.,4750
In what country is Mo i Rana?,"[""Norway"", ""Kingdom of Norway"", ""Norge"", ""Norvège‏"", ""NO"", ""NOR"", ""no"", ""Noreg"", ""Norwegen‏"", ""🇳🇴""]",Mo i Rana is a city located in Norway.,4775
Who was the director of The Cost?,"[""Brad Anderson""]","I think you meant ""The Cost"" is not a real movie. If you meant to ask about a different movie, please feel free to ask again!",4800
What genre is October 1?,"[""mystery film""]",October 1 is a K-pop song by the South Korean boy group SEVENTEEN.,4825
In what country is National Assembly?,"[""Nicaragua"", ""ni"", ""🇳🇮"", ""Republic of Nicaragua"", ""NIC"", ""NI"", ""NCA""]",The National Assembly is located in France.,4850
Who was the screenwriter for Out 1?,"[""Jacques Rivette""]",The screenwriter for Out 1 (1971) was Jacques Rivette.,4875
What genre is Slim Gaillard?,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz"", ""Jazz""]","Slim Gaillard is a jazz musician, specifically a pianist and vocalist, known for his unique vocal style and his hit song ""Voodo Work"".",4900
What is Vic the capital of?,"[""Osona""]","Vic is the capital of Victoria, a state in Australia.",4925
Who was the screenwriter for The Train?,"[""Pierre Granier-Deferre""]","The screenwriter for the 1964 film ""The Train"" was Franklin J. Schaffner.",4950
Who is the author of The Night Watch?,"[""Sarah Waters"", ""Sarah Ann Waters""]",The author of The Night Watch is Sarah Waters.,4975
What is the religion of Linfield University?,"[""American Baptist Churches USA""]","Linfield University is a non-sectarian institution, meaning it does not have a specific religious affiliation or requirement.",5000
Who is the author of The Lower Depths?,"[""Maxim Gorky"", ""Alexei Maximovich Peshkov"", ""Maksim Gor'ky"", ""Aleksey Maksimovich Peshkov"", ""Aleksey Peshkov"", ""Maksim Gorky"", ""Gorky"", ""Maxim Gorki""]",The author of The Lower Depths is Maxim Gorky.,5025
What is Claudio Naranjo's occupation?,"[""psychiatrist"", ""alienist"", ""head-shrinker"", ""shrinker""]",Claudio Naranjo is a Chilean psychiatrist and philosopher.,5050
Who is the author of All the Way?,"[""Robert Schenkkan"", ""Robert Frederic Schenkkan, Jr.""]","The author of the novel ""All the Way"" is Donald L. Barlett.",5075
What is Chiara Zanni's occupation?,"[""voice actor"", ""voice artist"", ""voice actress"", ""voice-over performer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Chiara Zanni is a Canadian voice actress.,5100
Who was the producer of Doc?,"[""Frank Perry"", ""Frank J. Perry"", ""Frank Joseph Perry, Jr.""]","The producer of the 1971 film ""Doc"" was Ray Stark.",5125
What sport does Cam Ward play?,"[""ice hockey""]",Cam Ward is a professional ice hockey goaltender.,5150
Who was the director of The Immunity Syndrome?,"[""Joseph Pevney""]","The director of the Star Trek episode ""The Immunity Syndrome"" is Joseph Pevney.",5175
Who was the screenwriter for The Promise?,"[""Chen Kaige""]","The screenwriter for the 2016 film ""The Promise"" was Terry George.",5200
Who was the screenwriter for Girlfriend?,"[""Karan Razdan""]","The screenwriter for the 1998 film ""Girlfriend"" was Nancy Savoca.",5225
Who was the screenwriter for Our Town?,"[""Thornton Wilder"", ""Thornton Niven Wilder"", ""Frank Craven"", ""John Francis Craven""]","Thornton Wilder was the screenwriter for the play ""Our Town"".",5250
Who is the author of The Octoroon?,"[""Dion Boucicault"", ""Dionysius Lardner Boursiquot""]",The author of The Octoroon is Dion Boucicault.,5275
What is Archer City the capital of?,"[""Archer County"", ""Archer County, Texas""]","Archer City is the county seat of Archer County, Texas, USA.",5300
In what country is Christopher?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]","Christopher is a common given name in many English-speaking countries. However, if you're referring to a specific Christopher, could you please provide more context or information about the Christopher you're referring to?",5325
Who was the producer of Surprise?,"[""Paul Simon"", ""Paul Frederic Simon"", ""Jerry Landis""]","The producer of the 2005 film ""Surprise"" was none other than the renowned producer, Ashwini Dheer.",5350
Who was the director of Three the Hard Way?,"[""Gordon Parks, Jr.""]","The director of the 1974 blaxploitation film ""Three the Hard Way"" was Gordon Parks.",5375
What genre is Expedition?,"[""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sci fi"", ""sciencefiction""]",Expedition is a reality TV series that falls under the genre of documentary-style adventure or survival programming.,5400
In what city was Jiang Mianheng born?,"[""Shanghai"", ""Hu"", ""Shang Hai"", ""Shanghai, China""]","Jiang Mianheng, the son of Jiang Zemin, was born in Shanghai, China.",5425
Who was the composer of Soldier of Fortune?,"[""Ritchie Blackmore"", ""Richard Hugh Blackmore"", ""00041104344 IPI"", ""00041499477 IPI"", ""Richard Blackmore""]","The composer of the song ""Soldier of Fortune"" is Ritchie Blackmore, the guitarist and founder of the band Deep Purple.",5450
Who was the director of Pip?,"[""Eric Stough""]","There is no film titled ""Pip"". However, there have been several film adaptations of Charles Dickens' novel ""Great Expectations"", which features a character named Pip. If you're referring to one of these adaptations, please let me know and I can try to help you identify the director.",5475
Who was the composer of Broken?,"[""Trent Reznor"", ""Michael Trent Reznor""]","The composer of the music for the TV series ""Broken"" is Anne Dudley.",5500
What genre is At This Moment?,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]","""At This Moment"" by Billy Vera & The Beaters is a Power Pop/Rock song.",5525
In what country is Mangalore University?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]","Mangalore University is located in the state of Karnataka, India.",5550
Who was the screenwriter for Infection?,"[""Masayuki Ochiai""]","I think you meant ""Infection"" as in the 2007 South Korean horror film ""A Tale of Two Sisters"" (also known as ""Janghwa, Hongryeon""). If that's correct, the screenwriter for ""A Tale of Two Sisters"" is Kim Jee-woon.",5575
Who was the director of The Ghost Train?,"[""Walter Forde""]","The director of the 1941 film ""The Ghost Train"" was W. P. Kellino.",5600
Who was the director of Connected?,"[""Benny Chan"", ""Benny Chan Muk-Sing"", ""Chan Muk-Sing""]","The director of the 2020 film ""Connected"" is Mike Rianda.",5625
Who was the producer of Into the Sun?,"[""Steven Seagal"", ""Steven Frederic Seagal"", ""Steven Frederick Seagal""]","The producer of the 2005 film ""Into the Sun"" was Steven Seagal.",5650
What is the capital of Dhule district?,"[""Dhule""]",The capital of Dhule district is Dhule.,5675
In what country is Lugano Airport?,"[""Switzerland"", ""Swiss Confederation"", ""SUI"", ""Suisse"", ""Schweiz"", ""Svizzera"", ""Swiss"", ""CHE"", ""CH"", ""Confoederatio Helvetica""]",Lugano Airport is located in Switzerland.,5700
Who was the composer of Go?,"[""Moby"", ""Richard Melville Hall"", ""Voodoo Child"", ""Barracuda"", ""Brainstorm"", ""Schaumgummi"", ""Pippy Baliunas"", ""UHF"", ""Elizabeth McBride""]","There is no composer of the game Go. Go is an ancient board game originating from East Asia, and its rules and strategies have been developed and refined over centuries through the collective efforts of many players and enthusiasts.",5725
Who is the author of Not I?,"[""Samuel Beckett"", ""Samuel Barclay Beckett"", ""Andrew Belis"", ""Sam Beckett"", ""Sa-miao-erh Pei-kʻo-tʻe"", ""Samuel Beḳeṭ""]","The author of ""Not I"" is Samuel Beckett.",5750
Who is the mother of Clarence Peters?,"[""Clarion Chukwura""]",Clarence Peters' mother is Mrs. Peters.,5775
Who was the screenwriter for Platform?,"[""Jia Zhangke""]","The screenwriter for the 2023 film ""Platform"" is Robert Rodriguez.",5800
Who is the mother of Rosa Brooks?,"[""Barbara Ehrenreich""]","Rosa Brooks' mother is Faye Wattleton, an American reproductive rights activist and former president of Planned Parenthood.",5825
Who was the producer of Fundamental?,"[""Trevor Horn"", ""Trevor Charles Horn""]","The producer of Fundamental was none other than the legendary music producer, Quincy Jones!",5850
What is the capital of Van Buren County?,"[""Paw Paw"", ""Paw Paw, Michigan""]",The capital of Van Buren County is Keosauqua.,5875
Who is the author of The New Science?,"[""Giambattista Vico"", ""Gianbattista Vico"", ""Giovan Battista Vico""]","The author of ""The New Science"" is Giambattista Vico.",5900
Who is the author of The Visitor?,"[""Roald Dahl"", ""Wing Commander Roald Dahl""]","The author of ""The Visitor"" is Cormac McCarthy.",5925
Who was the composer of Starship Trooper?,"[""Chris Squire"", ""Christopher Russell Edward Squire"", ""Steve Howe"", ""Stephen James Howe"", ""Jon Anderson"", ""John Roy Anderson""]","The composer of ""Starship Trooper"" is Keith Emerson, an English composer and keyboardist.",5950
What is Ho the capital of?,"[""Volta Region"", ""Togoland"", ""British Togoland"", ""British Togoland""]",Ho Chi Minh City is the capital of Vietnam.,5975
Who was the director of One on One?,"[""Kim Ki-duk"", ""Ki-duk Kim"", ""Kim Gi-deok""]","The director of the 1977 film ""One on One"" was James Toback.",6000
Who was the director of Flying?,"[""Paul Lynch""]","I think there may be a mistake! There is no movie called ""Flying"". Could you be thinking of a different title, or perhaps a character or scene from a movie that involves flying? If you could provide more context or clarify what you're thinking of, I'd be happy to try and help you further!",6025
Who was the director of Cover?,"[""Bill Duke""]","There is no movie titled ""Cover"". It's possible that you may be thinking of a different title or incorrect information. If you could provide more context or clarify which movie you are referring to, I'll do my best to assist you.",6050
Who was the composer of The Falls?,"[""Michael Nyman"", ""Michael Laurence Nyman""]","The composer of the music for the 1980 film ""The Falls"" is Peter Dasent.",6075
Who is the author of Beautiful You?,"[""Chuck Palahniuk"", ""Charles Michael \""Chuck\"" Palahniuk""]","The author of ""Beautiful You"" is Barney Stinson, a fictional character from the TV show ""How I Met Your Mother"".",6100
Who was the director of Downloaded?,"[""Alex Winter"", ""Alexander Ross Winter""]","The director of the documentary film ""Downloaded"" is Alex Winter.",6125
Who was the screenwriter for The Truth?,"[""Véra Clouzot"", ""Vera Clouzot"", ""Henri-Georges Clouzot""]","The screenwriter for the 2005 film ""The Truth"" was Jeffrey Nachmanoff.",6150
Who was the producer of The Journey?,"[""Anatole Litvak""]","The producer of the 1959 film ""The Journey"" was Ralph R. Greenson.",6175
Who was the producer of Xxplosive?,"[""Dr. Dre"", ""Andre Romelle Young"", ""The Mechanic"", ""Brickhard""]","The producer of ""Xxplosive"" by 50 Cent is Dr. Dre.",6200
Who was the screenwriter for Within?,"[""Chris Carter"", ""Christopher Carl Carter""]","The screenwriter for the 2021 horror film ""Within"" is Flavio Lobell.",6225
Who was the director of Carried Away?,"[""Bruno Barreto""]","The director of the 1996 film ""Carried Away"" was Bruno Barreto.",6250
What genre is Hollow?,"[""heavy metal"", ""heavy metal music"", ""Heavy Metal"", ""Metal"", ""Metal music"", ""metal"", ""Heavy Metal Music""]",Hollow is a psychological thriller/horror film.,6275
What genre is Kid Dracula?,"[""platform game"", ""platformer"", ""Platform video games""]",Kid Dracula is a Gothic Horror comedy manga series.,6300
Who was the composer of Fascinating Rhythm?,"[""George Gershwin"", ""Jacob Gershvin"", ""Jacob Bruskin Gershowitz"", ""George Jacob Gershwin"", ""Dzhordzh Gershvin""]","The composer of ""Fascinating Rhythm"" is George Gershwin.",6325
Who is the author of Midnight?,"[""Dean Koontz"", ""Dean Ray Koontz"", ""Aaron Wolfe"", ""Brian Coffey"", ""David Axton"", ""Deanna Dwyer"", ""John Hill"", ""K.R. Dwyer"", ""Leigh Nichols"", ""Anthony North"", ""Owen West"", ""Richard Paige""]","The author of the novel ""Midnight"" is Sister Souljah.",6350
What genre is Enter?,"[""gothic metal"", ""goth metal""]",Enter is a psychological thriller film.,6375
What sport does Amdy Faye play?,"[""association football"", ""football"", ""soccer""]","Amdy Faye is a former professional footballer, which is the sport commonly referred to as soccer in the United States.",6400
Who was the screenwriter for Premi?,"[""Rabi Kinagi"", ""Ravi Kinagi"", ""Rabi Kinnagi""]","I think you meant ""Premiere"", not ""Premi"". If that's correct, I couldn't find any information on a screenwriter specifically credited for a film or TV show titled ""Premiere"". Could you provide more context or clarify what you're looking for?",6425
Who was the director of Blue?,"[""Silvio Narizzano""]","The director of the 1993 film ""Blue"" is Derek Jarman.",6450
What sport does World Triathlon play?,"[""triathlon""]",World Triathlon is the governing body for the sport of Triathlon.,6475
Who was the composer of Beijing Bicycle?,"[""Wang Feng""]","The composer of the film ""Beijing Bicycle"" (2001) is Zhao Lin.",6500
What genre is Discount?,"[""punk rock"", ""punk"", ""punk music""]","Discount is a song by the American rock band Foo Fighters, from their 2014 album Sonic Highways. The genre of Discount is Alternative Rock.",6525
Who is the author of Skyhigh?,"[""Tsutomu Takahashi""]","The author of ""Sky High"" is Miya Kazuki.",6550
Who was the producer of For Better or Worse?,"[""Jeff Nathanson""]","The producer of the TV series ""For Better or For Worse"" was Lynn Johnston.",6575
What is Frederick the capital of?,"[""Tillman County"", ""Tillman County, Oklahoma""]","Frederick is the capital of Maryland, USA.",6600
What is Sudarshan Faakir's occupation?,"[""lyricist"", ""singer-lyricist""]","Sudarshan Faakir is a fictional character and the main protagonist of the Indian web series ""The Family Man"".",6625
Who was the producer of I Do?,"[""Alain Chabat""]","The producer of the 2012 film ""I Do"" was Richard Trank.",6650
Who was the composer of See You?,"[""Martin Gore"", ""Martin Lee Gore"", ""Martin L. Gore""]","The composer of ""See You"" is Hans Zimmer.",6675
What is the capital of Merthyr Tydfil County Borough?,"[""Merthyr Tydfil"", ""Merthyr Tudful"", ""Merthyr-Tydvil""]","Merthyr Tydfil County Borough is a county borough in Wales, and it does not have a capital.",6700
Who was the screenwriter for The Ballad of Narayama?,"[""Keisuke Kinoshita""]","The screenwriter for the 1983 Japanese film ""The Ballad of Narayama"" was Keisuke Kinoshita.",6725
Who is the mother of Margaret of Sicily?,"[""Isabella of England"", ""ISABELLA d'Inghilterra, regina di Sicilia, imperatrice""]",The mother of Margaret of Sicily is Beatrice of Savoy.,6750
Who is the father of Qasim ibn Muhammad ibn Abi Bakr?,"[""Muhammad ibn Abi Bakr"", ""محمد بن أبي بكر""]",The father of Qasim ibn Muhammad ibn Abi Bakr is Muhammad ibn Abi Bakr.,6775
Who is the author of Camino Real?,"[""Tennessee Williams"", ""Thomas Lanier Williams III"", ""Thomas Lanier Williams"", ""Thomas Williams""]",The author of Camino Real is Tennessee Williams.,6800
Who was the screenwriter for The Actors?,"[""Conor McPherson""]","The screenwriter for the 2003 film ""The Actors"" was Conor McPherson.",6825
Who was the composer of Woman of the Year?,"[""John Kander"", ""John Harold Kander""]","The composer of the 1982 musical film ""Woman of the Year"" was John Kander.",6850
Who was the director of Trio?,"[""Harold French"", ""Ken Annakin"", ""Kenneth Cooper Annakin""]","The director of the 1978 film ""Trio"" was Roger Vadim.",6875
Who was the screenwriter for 100?,"[""Tina Fey"", ""Elizabeth Stamatina \""Tina\"" Fey"", ""Elizabeth Stamatina Fey"", ""Jack Burditt"", ""Robert Carlock"", ""Robert Morgan Carlock""]","The screenwriter for the 2015 TV series ""100"" is Karyn Usher.",6900
What genre is Something Happens?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","Something Happens is a New Zealand sitcom that aired from 1999 to 2002. The genre of Something Happens is comedy, specifically situational comedy.",6925
What genre is Me & My?,"[""Eurodance"", ""Euro-dance"", ""Euro dance""]","Me & My is a Eurodance group, specifically a subgenre known as ""bubblegum dance"".",6950
Who was the director of The Navigator?,"[""Buster Keaton"", ""Joseph Frank Keaton"", ""Joseph F. Keaton"", ""Joseph Keaton"", ""Joseph Francis Keaton"", ""Frigo"", ""Donald Crisp"", ""George William Crisp"", ""Donald William Crisp""]","The director of the 1988 film ""The Navigator: A Medieval Odyssey"" was Vincent Ward.",6975
Who was the screenwriter for The Chairman?,"[""Ben Maddow""]","The screenwriter for the 1969 film ""The Chairman"" was Harry Kleiner.",7000
What genre is Console?,"[""electronic music"", ""electrosonic""]","Console is a subgenre of electronic music, specifically a type of techno music.",7025
Who was the director of The Guru?,"[""James Ivory""]","The director of the 2002 film ""The Guru"" was Daisy von Scherler Mayer.",7050
Who was the screenwriter for The Greater Good?,"[""Leonard Dick""]","The screenwriter for the 2011 film ""The Greater Good"" is Richard Curtis.",7075
Who was the screenwriter for Endurance?,"[""Leslie Woodhead""]","There is no film titled ""Endurance"". However, I think you might be referring to the 2018 film ""Endurance"" directed by Travis Beacham. If that's the case, Travis Beacham is the screenwriter for the film.",7100
Who was the producer of The Moment?,"[""Kenny G"", ""Kenneth Bruce Gorelick""]","The producer of the TV series ""The Moment"" was Peter Berg.",7125
What genre is Special?,"[""science fiction film"", ""sci-fi film"", ""science fiction movie"", ""sci-fi movie"", ""scifi film"", ""scifi movie"", ""sci fi film"", ""sci fi movie"", ""scifi-film"", ""scifi"", ""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]","Special is a superhero comedy-drama television series that premiered on Netflix in 2020. The genre is a mix of superhero, comedy, and drama.",7150
Who was the composer of Number Pieces?,"[""John Cage"", ""John Milton Cage Jr."", ""John Milton Cage, Jr."", ""John Milton, Jr. Cage"", ""J. C.""]",The composer of Number Pieces is James Tenney.,7175
Who is the author of A Boy's Own Story?,"[""Edmund White"", ""Edmund Valentine White III""]","The author of ""A Boy's Own Story"" is Edmund White.",7200
What genre is Johnny Harris?,"[""pop music"", ""pop"", ""Pop""]","Johnny Harris is a British singer-songwriter and musician, and his music genre is primarily Folk-Pop and Indie-Folk.",7225
What is the religion of Wim Eijk?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","Wim Eijk is a Catholic bishop. He is the Archbishop of Utrecht, the Netherlands.",7250
Who was the screenwriter for Sal?,"[""James Franco"", ""James Edward Franco""]","The screenwriter for the 2011 film ""Sal"" was James Franco.",7275
What genre is Terri?,"[""teen film"", ""teen movie"", ""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]","Terri is a 2009 American drama film directed by Azazel Jacobs. The genre of Terri is a drama, specifically a character-driven drama that focuses on the relationships and struggles of its characters.",7300
Who was the director of Black and White?,"[""Craig Lahiff""]","The director of the 1999 film ""Black and White"" was Mike Figgis.",7325
In what city was Mapy Cortés born?,"[""Santurce"", ""San Mateo de Cangrejos"", ""Santurce Barrio"", ""Santurce, San Juan"", ""Santurce, Puerto Rico""]","Mapy Cortés was born in Mexico City, Mexico.",7350
What genre is York?,"[""downtempo"", ""chillout"", ""chill"", ""downbeat""]","York is a city in North Yorkshire, England. It is not a genre of music, literature, or film.",7375
Who is the father of Iorwerth Drwyndwn?,"[""Owain Gwynedd""]","A question from the world of Welsh mythology!

According to legend, the father of Iorwerth Drwyndwn is Gwydion, a powerful sorcerer and one of the most important characters in Welsh mythology.",7400
Who was the producer of About Time?,"[""The Stranglers"", ""Stranglers"", ""Alan Winstanley"", ""Alan Kenneth Winstanley""]","The producer of the 2013 film ""About Time"" was Tim Bevan.",7425
Who was the producer of Because They Can?,"[""Gunnar Nelson"", ""Matthew Nelson""]","The producer of Because They Can is none other than the talented and renowned producer, David Foster!",7450
Who was the composer of Champion?,"[""Drake"", ""Aubrey Graham"", ""Aubrey Drake Graham"", ""Drizzy"", ""Champagne Papi"", ""Dios Plan""]","The composer of ""Champion"" is Thomas Newman.",7475
Who was the screenwriter for The Criminal Code?,"[""Martin Flavin"", ""Martin Archer Flavin""]","The screenwriter for the 1931 film ""The Criminal Code"" was Seton I. Miller.",7500
Who was the director of Submission?,"[""Salvatore Samperi""]","The director of the 2020 film ""Submission"" is Richard Levine.",7525
Who is the author of Couples?,"[""John Updike"", ""John Hoyer Updike""]","The author of the novel ""Couples"" is John Updike.",7550
What genre is Door Door?,"[""platform game"", ""platformer"", ""Platform video games""]","Door Door is a Japanese visual novel and otome game, which falls under the genre of Romance and Interactive Fiction.",7575
What genre is Amarte Así?,"[""telenovela"", ""Spanish soap opera""]","Amarte Así is a Latin pop song, specifically a bachata song.",7600
Who was the director of The Weekend?,"[""Michael Cuesta""]","There is no movie titled ""The Weekend"". However, there is a 2021 film titled ""The Weekend Away"" directed by Kim Seung-won.",7625
Who was the director of Dream?,"[""Kim Ki-duk"", ""Ki-duk Kim"", ""Kim Gi-deok""]","The director of the 2004 film ""Dreamcatcher"" was Lawrence Kasdan.",7650
What genre is Disturbed?,"[""horror film"", ""horror movie""]","Disturbed is a heavy metal band, specifically classified as a nu metal band.",7675
In what city was Alma Karlin born?,"[""Celje""]","Alma Karlin was born in Črnomelj, Slovenia.",7700
Who was the producer of Positive?,"[""Farhan Akhtar"", ""Ritesh Sidhwani""]","The producer of the 2007 film ""Positive"" was Richard Linklater.",7725
Who was the screenwriter for In Another Country?,"[""Hong Sang-soo"", ""Hong Sang Soo""]","The screenwriter for the 2013 film ""In Another Country"" is Hong Sang-soo.",7750
