question,answer,baseline,L4-P4,L4-P6,L4-P8,L4-P10,L6-P4,L6-P6,L6-P8,L6-P10,L8-P4,L8-P6,L8-P8,L8-P10,L10-P4,L10-P6,L10-P8,L10-P10,L12-P4,L12-P6,L12-P8,L12-P10,L14-P4,L14-P6,L14-P8,L14-P10,L16-P4,L16-P6,L16-P8,L16-P10,L18-P4,L18-P6,L20-P4,L20-P6,L22-P4,L22-P6,L24-P4,L24-P6,L26-P4,L26-P6,L28-P4,L28-P6,L30-P4,index
Who is the author of The Servile State?,"[""Hilaire Belloc"", ""Hilaire Pierre Belloc"", ""Joseph Hilaire Pierre René Belloc""]","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.","The author of ""The Servile State"" is Hilaire Belloc.",8075
In what city was Nissim of Gerona born?,"[""Girona"", ""Girona, Spain"", ""Gérone"", ""Gerone"", ""Gerona"", ""Gerona, Spain"", ""Girona, Catalonia""]","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona was born in Girona, Catalonia, Spain.","Nissim of Gerona was born in Girona, Catalonia, Spain.","Nissim of Gerona, a prominent Jewish scholar, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a prominent Jewish scholar and poet, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a prominent Jewish scholar and poet, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a prominent Jewish scholar, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a prominent Jewish scholar and poet, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a prominent Jewish scholar and poet, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a prominent Jewish scholar, was born in Girona, Catalonia, Spain.","Nissim of Gerona was born in Girona, Catalonia, Spain.","Nissim of Gerona was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 13th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 13th-century Jewish philosopher and poet, was born in Girona, Catalonia, Spain.","Nissim of Gerona was born in Barcelona, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona was born in Girona, Catalonia, Spain.","Nissim of Gerona was born in Barcelona, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet, was born in Girona, which is now in the autonomous community of Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a 12th-century Jewish poet, was born in Girona, Catalonia, Spain.","Nissim of Gerona, a prominent Jewish scholar, was born in Girona, Catalonia, Spain.",8225
Who is the author of Election?,"[""Tom Perrotta""]","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.","The author of the novel ""Election"" is Tom Perrotta.",8325
Who is the author of Variant?,"[""Robison Wells""]","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.","The author of the novel ""Variant"" is Robison Wells.",8800
What genre is Adhesive?,"[""punk rock"", ""punk"", ""punk music""]","Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.",Adhesive is a psychological thriller novel by Joshua Levine.,Adhesive is a psychological thriller novel by Matthew Sturges.,Adhesive is a psychological thriller novel by Joshua Levine.,Adhesive is a psychological thriller novel by Marcy Kennedy.,"Adhesive is a novel by Brandon Sanderson, and it falls under the genre of Science Fantasy.",Adhesive is a psychological thriller novel by Marcy Kennedy.,Adhesive is a psychological thriller novel by Marcy Kennedy.,Adhesive is a psychological thriller novel by Marcy Kennedy.,"Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.",Adhesive is a psychological thriller novel by Marcy Kennedy.,"Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.","Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.","Adhesive is a novel by Canadian author Craig Davidson, published in 2011. The genre of Adhesive is often classified as Literary Fiction, specifically in the subgenre of Experimental Fiction.",Adhesive is a psychological thriller novel by Joshua Levine.,Adhesive is a psychological thriller novel by Joshua Levine.,"Adhesive is a psychological thriller novel by Joshua Levine. Therefore, the genre of Adhesive is primarily Psychological Thriller, with elements of Mystery and Suspense.",Adhesive is a psychological thriller novel by Joshua Levine.,Adhesive is a psychological thriller novel by Marissa Stapley.,Adhesive is a psychological thriller novel by Marcy Kennedy.,Adhesive is a psychological thriller novel by Marissa Stapley.,Adhesive is a psychological thriller novel by Joshua S. Miller.,Adhesive is a psychological thriller novel by Joshua Levine.,Adhesive is a psychological thriller novel by Joshua Levine.,Adhesive is a psychological thriller novel by Joshua S. Miller.,Adhesive is a psychological thriller novel by Joshua Boyd.,Adhesive is a psychological thriller novel by Joshua Levine.,Adhesive is a psychological thriller novel by Marcy Kennedy.,Adhesive is a psychological thriller novel by Brandon Truitt.,"Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.",Adhesive is a 2019 American experimental film directed by David Oelhoffen. The genre of Adhesive is often classified as a surrealist drama or a psychological thriller.,"Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.","Adhesive is a genre of music that is often classified as a subgenre of Industrial music. It is characterized by its use of distorted, industrial sounds, often combined with elements of noise, ambient, and experimental music.","Adhesive is a genre of music that is often classified as a subgenre of electronic music. Specifically, Adhesive is a fusion of elements from drum and bass, breakcore, and IDM (Intelligent Dance Music).","Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.","Adhesive is a genre of music that is often classified as a subgenre of Industrial music. It is characterized by its use of distorted, industrial sounds, often combined with elements of noise, ambient, and experimental music.","Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.","Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.","Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.","Adhesive is a genre of music that is often classified as a subgenre of Industrial music. It is characterized by its use of distorted, industrial sounds, often combined with elements of noise, drone, and avant-garde music.","Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.",Adhesive is a genre of music that is often classified as a subgenre of electronic music.,8875
In what country is Eustace?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a human character who lives in England.,Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a human character who finds himself in the magical land of Narnia.,Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a human character who finds himself in the magical land of Narnia.,Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a human character who finds himself in the magical land of Narnia.,Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a human character who finds himself in the magical land of Narnia.,"Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a main character in the book ""The Voyage of the Dawn Treader"".","Eustace is a character from the popular animated TV series ""Dragon Tales"". He is a grumpy and skeptical character who often finds himself in humorous situations.","Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a main character in the book ""The Voyage of the Dawn Treader"".","Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a main character in the book ""The Voyage of the Dawn Treader"".",Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a boy who lives in England.,Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a boy who lives in England.,"Eustace is a character from the classic children's novel ""Treasure Island"" by Robert Louis Stevenson. Eustace is a character who is shipwrecked on the island, along with the protagonist, Jim Hawkins.",Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a boy who lives in England.,Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a human character who lives in England.,"Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a main character in the book ""The Voyage of the Dawn Treader"". He is a British boy who is transported to the magical land of Narnia.","Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a main character in the book ""The Voyage of the Dawn Treader"".","Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a main character in the book ""The Voyage of the Dawn Treader"". He is a resident of the fictional land of Narnia.",Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a human character who lives in England.,Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a human character who lives in England.,"Eustace is a character from the classic children's book series ""Rebecca of Sunnybrook Farm"" by Kate Douglas Wiggin.",Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a human character who lives in England.,Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a human character who lives in England.,"Eustace is a character from the Chronicles of Narnia series, and he is from the fictional land of Narnia.","Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a main character in the book ""The Voyage of the Dawn Treader"".","Eustace is a character from the Chronicles of Narnia series, and he is from the fictional land of Narnia.","Eustace is a character from the Chronicles of Narnia series, and he is from the fictional land of Narnia.","Eustace is a character from the Chronicles of Narnia series, and he is from the country of Calormen.","Eustace is a character from the Australian children's television series ""Bluey"".","Eustace is a character from the Chronicles of Narnia series, and he is from the fictional land of Narnia.","Eustace is a character from the Chronicles of Narnia series, and he is from the country of Calormen.","Eustace is a character from the Australian children's book series ""The Magic Pudding"" by Norman Lindsay.","Eustace is a character from the popular children's book series ""Chronicles of Narnia"" by C.S. Lewis. Eustace is a main character in the book ""The Voyage of the Dawn Treader"".","Eustace is a character from the popular children's book series ""The Chronicles of Narnia"" by C.S. Lewis. Eustace is a main character in the book ""The Voyage of the Dawn Treader"" and is also known as Eustace Clarence Scrubb.","Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a character from the book ""The Voyage of the Dawn Treader"". He is a boy who is transported to the magical land of Narnia.","Eustace is a character from the children's book series ""The Chronicles of Narnia"" by C.S. Lewis. Eustace is a character who appears in the book ""The Voyage of the Dawn Treader"".","Eustace is a character from the children's book series ""The Chronicles of Narnia"" by C.S. Lewis. Eustace is a character who appears in the book ""The Voyage of the Dawn Treader"".","Eustace is a character from the children's book series ""The Chronicles of Narnia"" by C.S. Lewis. Eustace is a character who appears in the book ""The Voyage of the Dawn Treader"".","Eustace is a character from the children's book series ""The Chronicles of Narnia"" by C.S. Lewis. Eustace is a character who appears in the book ""The Voyage of the Dawn Treader"".","Eustace is a character from the children's book series ""The Chronicles of Narnia"" by C.S. Lewis. Eustace is a character who appears in the book ""The Voyage of the Dawn Treader"".","Eustace is a character from the classic children's book series ""Rebecca of Sunnybrook Farm"" and its sequels, written by Kate Douglas Wiggin.","Eustace is a character in the Chronicles of Narnia series, and he is from the fictional land of Narnia.","Eustace is a character from the children's book series ""The Chronicles of Narnia"" by C.S. Lewis. Eustace is a character who appears in the book ""The Voyage of the Dawn Treader"".",8900
Who is the author of Romance?,"[""Ford Madox Ford"", ""Ford Hermann Hueffer"", ""Ford Madox Hueffer"", ""Joseph Leopold Ford Hermann Madox Hueffer"", ""Joseph Conrad"", ""Jozef Teodor Konrad Korzeniowski""]","The author of the novel ""Romance"" is Joseph Conrad.","The author of the novel ""Romance"" is Joseph Conrad.","The author of the novel ""Romance"" is Joseph Conrad.","The author of the novel ""Romance"" is Joseph Conrad.","The author of the novel ""Romance"" is Josephine Hart.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Joseph Conrad.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Joseph Conrad.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Joseph Conrad.","The author of the novel ""Romance"" is Joseph Sheridan Le Fanu.","The author of the novel ""Romance"" is Honoré de Balzac.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Joseph Conrad.","The author of the novel ""Romance"" is Honoré de Balzac.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Honoré de Balzac.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Honoré de Balzac.","The author of the novel ""Romance"" is Honoré de Balzac.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Honoré de Balzac.","The author of the novel ""Romance"" is Honoré de Balzac.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Leo Tolstoy.","The author of the novel ""Romance"" is Honoré de Balzac.","The author of the novel ""Romance"" is Joseph Sheridan Le Fanu.",8950
What sport does Roosevelt Chapman play?,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB"", ""Basketball""]","Roosevelt Chapman is a professional basketball player, specifically a shooting guard.",Roosevelt Chapman is a professional basketball player.,"Roosevelt Chapman is a professional basketball player, specifically a shooting guard.",Roosevelt Chapman is a professional basketball player.,"Roosevelt Chapman is a professional basketball player, specifically a shooting guard.",Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player who plays in the NBA.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player who plays in the Israeli Basketball Premier League.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player who plays in the NBA.,Roosevelt Chapman plays basketball.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player who plays in the NBA.,"Roosevelt Chapman is a professional basketball player, specifically a shooting guard.",Roosevelt Chapman is a professional basketball player who plays in the NBA.,Roosevelt Chapman is a professional basketball player who plays in the NBA.,"Roosevelt Chapman is a professional basketball player, specifically a shooting guard.","Roosevelt Chapman is a professional basketball player, specifically a shooting guard.","Roosevelt Chapman is a professional basketball player, specifically a shooting guard.","Roosevelt Chapman is a professional basketball player, specifically a shooting guard.","Roosevelt Chapman is a professional basketball player, specifically a shooting guard.","Roosevelt Chapman is a professional basketball player, specifically a shooting guard.","Roosevelt Chapman is a professional basketball player, specifically a shooting guard.","Roosevelt Chapman is a professional basketball player, and he plays in the sport of basketball.","Roosevelt Chapman is a professional basketball player, and he plays in the sport of basketball.","Roosevelt Chapman is a professional basketball player, and he plays in the sport of basketball.",Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,Roosevelt Chapman is a professional basketball player.,9050
Who is the author of Enter the Saint?,"[""Leslie Charteris"", ""Leslie Charles Bowyer-Yin""]","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Ted Willis.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.","The author of ""Enter the Saint"" is Leslie Charteris.",9075
Who was the director of Cool It?,"[""Ondi Timoner""]","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.",The director of Cool It (2010) is Ondi Timoner.,The director of Cool It (2010) is Ondi Timoner.,The director of Cool It (2010) is Ondi Timoner.,The director of Cool It (2010) is Ondi Timoner.,The director of Cool It (2010) is Ondi Timoner.,"The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.",The director of Cool It (2010) is Ondi Timoner.,The director of Cool It (2007) is Ondi Timoner.,"The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.",The director of Cool It (2010) is Ondi Timoner.,The director of Cool It (2010) is Ondi Timoner.,The director of Cool It (2010) was Ondi Timoner.,The director of Cool It (2010) is Ondi Timoner.,"The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.","The director of the documentary ""Cool It"" is Ondi Timoner.","The director of the documentary film ""Cool It"" (2010) is Ondi Timoner.","The director of the documentary film ""Cool It"" is Ondi Timoner.",9150
