question,answer,baseline,index
Who is the author of Da?,"[""Hugh Leonard""]","The author of ""Da"" is Hugh Leonard.",8025
What genre is Beautiful Darling?,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]","Beautiful Darling is a documentary film that explores the life and career of Candy Darling, a transgender actress and Warhol Superstar. The genre of Beautiful Darling is documentary, with elements of biography and film history.",8050
Who is the author of The Servile State?,"[""Hilaire Belloc"", ""Hilaire Pierre Belloc"", ""Joseph Hilaire Pierre René Belloc""]","The author of ""The Servile State"" is Hilaire Belloc.",8075
In what city was Nissim of Gerona born?,"[""Girona"", ""Girona, Spain"", ""Gérone"", ""Gerone"", ""Gerona"", ""Gerona, Spain"", ""Girona, Catalonia""]","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.",8225
Who is the author of Election?,"[""Tom Perrotta""]","The author of the novel ""Election"" is Tom Perrotta.",8325
Who is the author of Variant?,"[""Robison Wells""]","The author of ""Variant"" is Robison Wells.",8800
What genre is Adhesive?,"[""punk rock"", ""punk"", ""punk music""]","Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.",8875
In what country is Eustace?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a human character who lives in England.,8900
Who is the author of Romance?,"[""Ford Madox Ford"", ""Ford Hermann Hueffer"", ""Ford Madox Hueffer"", ""Joseph Leopold Ford Hermann Madox Hueffer"", ""Joseph Conrad"", ""Jozef Teodor Konrad Korzeniowski""]","The author of the novel ""Romance"" is Joseph Conrad.",8950
What sport does Roosevelt Chapman play?,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB"", ""Basketball""]","Roosevelt Chapman is a professional basketball player, specifically a shooting guard.",9050
Who is the author of Enter the Saint?,"[""Leslie Charteris"", ""Leslie Charles Bowyer-Yin""]","The author of ""Enter the Saint"" is Leslie Charteris.",9075
Who was the director of Cool It?,"[""Ondi Timoner""]","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.",9150
What is Mariví Bilbao's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Mariví Bilbao is a Spanish actress.,9175
Who is the author of The Wind?,"[""Dorothy Scarborough"", ""Emily Dorothy Scarborough""]","The author of the novel ""The Wind"" is Dorothy Scarborough.",9225
In what country is Zing?,"[""Nigeria"", ""Federal Republic of Nigeria"", ""🇳🇬"", ""NG"", ""FRN"", ""NGA"", ""NGR"", ""Naija""]","Zing is a popular Indian soft drink, and it is manufactured and sold in India.",9800
Who is the author of Those Who Hunt the Night?,"[""Barbara Hambly"", ""Barbara Hamilton (pseudonym)"", ""Barbara Hamilton""]",Those Who Hunt the Night is a novel written by Barbara Hambly.,9825
In what country is Little River?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]","Little River is a town in South Australia, Australia.",9850
Who is the author of Need?,"[""Carrie Jones""]","The author of the novel ""Need"" is Carrie Jones.",10175
What genre is Chess with Friends?,"[""chess"", ""International Chess"", ""Modern European Chess"", ""Western Chess"", ""chess game""]","Chess with Friends is a mobile app that allows users to play chess with their friends online. The genre of Chess with Friends is a type of Online Multiplayer Game, specifically a Strategy Game.",10200
Who is the mother of Princess Marie Gabriele of Luxembourg?,"[""Charlotte, Grand Duchess of Luxembourg"", ""Grand Duchess Charlotte of Luxembourg"", ""Charlotte I"", ""Charlotte""]",The mother of Princess Marie Gabriele of Luxembourg is Grand Duchess Charlotte of Luxembourg.,10225
In what city was Giuseppe Bezzuoli born?,"[""Florence"", ""Firenze"", ""Florence, Italy"", ""Florence, Tuscany"", ""Florencia"", ""Florentia"", ""Florenz"", ""Firenca"", ""Florencie"", ""Fiuränza"", ""Florentzia"", ""Firense"", ""Firenz"", ""Firenzi""]","Giuseppe Bezzuoli was born in Florence, Italy.",10250
Who was the director of The Final Test?,"[""Anthony Asquith"", ""Hon. Anthony Asquith"", ""Anthony William Lowell Asquith""]","The director of the 1953 British drama film ""The Final Test"" was Anthony Asquith.",10300
In what country is Peru?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",Peru is a country located in South America.,10450
In what city was János Ferencsik born?,"[""Budapest"", ""Buda Pest"", ""Buda-Pest"", ""Budapešť"", ""Budapesta"", ""Budapeszt"", ""Buda"", ""Ofen"", ""Budín"", ""Budim"", ""Budon"", ""Pest"", ""Pešť"", ""Pešta"", ""Óbuda"", ""Alt-Ofen"", ""Kőbánya""]","János Ferencsik, the Hungarian composer, was born in Budapest, Hungary.",10725
Who was the composer of La bella dormente nel bosco?,"[""Ottorino Respighi""]","A beautiful opera! La bella dormente nel bosco is an opera by Ottorino Respighi, composed in 1922.",10825
In what country is The Met?,"[""Thailand"", ""Kingdom of Thailand"", ""th"", ""Siam"", ""🇹🇭"", ""Land of Smiles"", ""THA""]","The Metropolitan Museum of Art, commonly referred to as ""The Met"", is located in the United States, specifically in New York City.",10850
In what country is Mullsjö Municipality?,"[""Sweden"", ""Kingdom of Sweden"", ""SE"", ""se"", ""SWE"", ""🇸🇪""]",Mullsjö Municipality is located in Sweden.,10950
Who was the director of Hell on Wheels?,"[""David Von Ancken""]","The director of the TV series ""Hell on Wheels"" was David Von Ancken.",11125
What sport does Mike Edwards play?,"[""association football"", ""football"", ""soccer""]",Mike Edwards is a professional American football player who plays as a defensive tackle for the Detroit Lions of the National Football League (NFL).,11525
In what country is Nalbandyan?,"[""Armenia"", ""Republic of Armenia"", ""🇦🇲"", ""ARM"", ""AM""]",Nalbandyan is a village in Armenia.,12050
Who is the author of Merry Tales?,"[""Mark Twain"", ""Samuel Langhorne Clemens"", ""Samuel L. Clemens"", ""Samuel Clemens""]","The author of ""Merry Tales"" is Mark Twain (the pen name of Samuel Langhorne Clemens).",12175
In what country is Reppisch?,"[""Switzerland"", ""Swiss Confederation"", ""SUI"", ""Suisse"", ""Schweiz"", ""Svizzera"", ""Swiss"", ""CHE"", ""CH"", ""Confoederatio Helvetica""]","Reppisch is a municipality in the district of Oberhavel, in Brandenburg, Germany.",12375
What is the capital of Biaroza District?,"[""Biaroza"", ""Bereza"", ""Bereza Kartuska"", ""Kartoz-Brezah"", ""Bereze"", ""Brezah"", ""Bjaroza"", ""Bereza Kartuskaya"", ""Biaroza Kartuzskaia"", ""Byaroza-Kartuzskaya"", ""Kartusskaya Bereza"", ""Kartuz Bereze"", ""Kartuz Bereza""]",The capital of Biaroza District is Baranovichi.,12750
In what country is Perth?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]","Perth is the capital city of Western Australia, which is a state in Australia.",12925
"In what country is Gąsiorowo, Legionowo County?","[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",Gąsiorowo is located in Poland.,13075
In what country is Eschbronn?,"[""Germany"", ""FRG"", ""BRD"", ""Bundesrepublik Deutschland"", ""Federal Republic of Germany"", ""de"", ""Deutschland"", ""GER"", ""BR Deutschland"", ""DE""]","Eschbronn is a municipality in the district of Freudenstadt, in the state of Baden-Württemberg, Germany.",13200
What sport does Luan Viana Patrocínio play?,"[""association football"", ""football"", ""soccer""]",Luan Viana Patrocínio is a Brazilian professional footballer who plays as a midfielder.,13500
What sport does 2006–07 Primera B Nacional play?,"[""association football"", ""football"", ""soccer""]",The sport played by 2006–07 Primera B Nacional is Football (or Association Football).,13525
In what country is Whited Township?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]","Whited Township is located in Pennsylvania, United States.",13675
What sport does Alexei Ugarov play?,"[""ice hockey""]",Alexei Ugarov is a professional ice hockey player.,13900
Who is the author of Sail?,"[""James Patterson"", ""James Brendan Patterson"", ""James B. Patterson""]","The author of the novel ""Sail"" is James Patterson.",13975
What sport does Dan Parkinson play?,"[""association football"", ""football"", ""soccer""]",Dan Parkinson is a professional rugby league footballer who plays as a prop for the Wakefield Trinity in the Betfred Super League.,14050
What sport does José Luis Contaja play?,"[""association football"", ""football"", ""soccer""]",José Luis Contaja is a Peruvian professional footballer who plays as a midfielder.,14125
In what country is Korean Magazine Museum?,"[""South Korea"", ""Republic of Korea"", ""ROK"", ""kr"", ""Rep. Korea"", ""S. Korea"", ""Korea Republic"", ""🇰🇷"", ""KOR""]","The Korean Magazine Museum is located in Seoul, South Korea.",14150
In what city was Jiří Vyčichlo born?,"[""Prague"", ""Praha"", ""Hlavní město Praha"", ""City of Prague""]","Jiří Vyčichlo was born in Prague, Czechoslovakia (now the Czech Republic).",14200
In what country is Izvorul Morarului River?,"[""Romania"", ""Roumania"", ""Rumania"", ""România"", ""ro"", ""🇷🇴""]",Izvorul Morarului River is located in Romania.,14250
