question,answer,baseline,L6-P4,L6-P6,L6-P8,L6-P10,L6-P12,L6-P14,L8-P4,L8-P6,L8-P8,L8-P10,L8-P12,L8-P14,L10-P4,L10-P6,L10-P8,L10-P10,L10-P12,L10-P14,L12-P4,L12-P6,L12-P8,L12-P10,L12-P12,L12-P14,L14-P4,L14-P6,L14-P8,L14-P10,L14-P12,L14-P14,L16-P4,L16-P6,L16-P8,L16-P10,L16-P12,L16-P14,L18-P4,L18-P6,L18-P8,L18-P10,L18-P12,L18-P14,L20-P4,L20-P6,L20-P8,L20-P10,L20-P12,L20-P14,L22-P4,L22-P6,L22-P8,L22-P10,L22-P12,L22-P14,L24-P4,L24-P6,L24-P8,L24-P10,L24-P12,L24-P14
Who is the mother of Napoleon?,"['Letizia Bonaparte', 'Maria Letizia Bonaparte', 'Maria Letizia Buonaparte', 'Maria Letizia Ramolino', 'Madame Mère', 'Laetitia Bonaparte', 'Letizia Ramallo', 'Letizia Ramolino', 'Maria-Letizia Buonaparte']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Indonesia?,"['Jakarta', 'Special Capital Region of Jakarta', 'JKT', 'Jakarta, Indonesia', 'Djakarta', 'Jacarta']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Israel?,"['Jerusalem', 'Yerushalayim', ""J'lem"", 'Aelia Capitolina', 'Al-Quds', 'Jerusalem, Middle East']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What genre is Prince?,"['rock music', 'rock and roll', 'rock', 'Rock', 'funk', 'Funk', 'pop music', 'pop', 'Pop', 'rhythm and blues', 'R&B', 'RnB', 'RNB', 'R and B', 'R & B', 'Minneapolis sound']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Spain?,"['Madrid', 'City of Madrid', 'Madrid, Spain']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Hawaii?,"['Honolulu', 'Honolulu, Hawaii', 'Urban Honolulu', 'Honolulu CDP']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Saudi Arabia?,['Riyadh'],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Mexico?,"['Mexico City', 'Mexico D.F.', 'Ciudad de México', 'City of Mexico', 'Mexico City, Mexico', 'CDMX', 'Mexico']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of New York?,"['Albany', 'Albany, New York']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Poland?,"['Warsaw', 'Warszawa', 'Varshe', 'Warschau', 'Varshava', 'Varšava', 'Varsó', 'Varsavia', 'Varsovie', 'Varsovia', 'Varšuva']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Switzerland?,"['Bern', 'Berne', 'city of Bern', 'Berna']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the father of Jesus?,"['Joseph', 'Saint Joseph', 'St Joseph', 'Josef', 'St. Joseph', 'God the Father', 'The Father', 'Father']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the religion of Jesus?,"['Judaism', 'Jewish', 'Jewish religion']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the mother of Jesus?,"['Virgin Mary', 'Maryam', 'Blessed Virgin Mary', 'Our Lady', 'Blessed Virgin', 'Madonna', 'Blessed Mother', 'Theotokos', 'The Blessed Mother', 'The Blessed Virgin', 'The Blessed Virgin Mary', 'Mother of God', 'Immaculate Mary', 'Saint Mary', 'Holy Mary', 'Holy Virgin', 'Notre Dame', 'Most Blessed', 'God-Bearer', 'Virgin God-Bearer', 'Mary, mother of Jesus', 'Mother of Jesus', 'St Mary the Virgin', 'Queen of the Universe', 'Mary', 'Maria', 'the Virgin Mary', 'Mary, Mother of our Lord']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the father of George Washington?,"['Augustine Washington', 'Augustine Washington Sr.']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the religion of George Washington?,"['Episcopal Church', 'Gu fakes', 'Guerra universitaria', 'Episcopalianism', 'The Episcopal Church in the United States of America']",1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Who is the mother of George Washington?,"['Mary Ball Washington', 'Mary Ball', 'Mary Washington']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is Will Smith's occupation?,"['record producer', 'music producer', 'film director', 'movie director', 'director', 'motion picture director', 'film producer', 'movie producer', 'producer', 'actor', 'actress', 'actors', 'actresses']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who was the producer of Titanic?,"['James Cameron', 'James Francis Cameron', 'Jim Cameron']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Nigeria?,"['Abuja', 'ABV', 'ABJ', 'FCT', 'Federal Capital Territory']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Alaska?,"['Juneau', 'Juneau, Alaska', 'Juneau, AK']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Ukraine?,"['Kyiv', 'Kiev', 'Kyjiv', 'Kyyiv', 'Kyjiw', 'Kyiw', 'Kyïv', 'Kief', 'Kieff', 'Kiew', 'Kioff', 'Kiof', 'Kiowia', 'Kiovia', 'Kiow', 'Kiou', 'Kyїv']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Florida?,"['Tallahassee', 'Tallahassee, Florida']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who was the producer of The Shining?,['Stanley Kubrick'],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who was the screenwriter for The Shining?,"['Stanley Kubrick', 'Stephen King', 'Stephen Edwin King', 'Richard Bachman', 'John Swithen', 'Diane Johnson']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of European Union?,"['City of Brussels', 'Brussels City', 'Brussels, Belgium', 'Bruxelles', 'Brussel', 'Stad Brussel', 'Ville de Bruxelles', '02', 'BXL', 'Bru', 'Brussels', 'Strasbourg', 'Straßburg', 'Strassburg', 'Schdroosburi', 'Strossburi', 'Strossburig', 'Strosburi']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of North Korea?,"['Pyongyang', 'Capital of Revolution', 'Ryugyong']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Scotland?,"['Edinburgh', 'Edinburg', 'Edinburgh, Scotland', 'City of Edinburgh', 'Edina', 'Modern Athens']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Sri Lanka?,"['Colombo', 'Sri Jayawardenepura Kotte', 'Kotte', 'Colombo']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What color is Arsenal F.C.?,"['red', 'red color']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Iran?,"['Tehran', 'Teheran']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Massachusetts?,"['Boston', 'Beantown', 'The Cradle of Liberty', 'The Hub', 'The Cradle of Modern America', 'The Athens of America', 'The Walking City', 'The Hub of the Universe', 'Bostonia', 'Boston, Massachusetts', 'Boston, MA', 'Boston, Mass.', 'Puritan City']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What sport does Mr. Olympia play?,"['bodybuilding', 'body building', 'body-building']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Pennsylvania?,"['Harrisburg', 'Capital of Pennsylvania', 'Harrisburg, Pennsylvania']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the father of George W. Bush?,"['George H. W. Bush', 'George Bush Sr.', 'GHW Bush', 'George Bush', 'George H.W.', 'G.H.W. Bush', 'GHWB', 'George H.W.Bush', 'George H. W', 'Bush I', 'George H W', 'George Herbert Bush', 'George H. W.', 'H W Bush', 'George Bush Snr.', 'George H. Bush', 'Vice President Bush', 'H. W. Bush', 'G. H. W. Bush', 'Herbert Walker Bush', 'George H Bush', 'Bush Sr.', 'G H W Bush', 'President Bush', 'George Herbert Walker Bush', 'President George H. W. Bush', 'George H W Bush', 'George Bush Sr', 'H.W. Bush', 'President George H.W. Bush', 'Bush Senior', 'George Bush Senior', 'Bush 41', 'George H.W. Bush', 'George W. Bush Senior', 'George Bush, Sr.']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Who is the mother of George W. Bush?,"['Barbara Bush', 'Barbara Pierce Bush', 'Barbara Pierce']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
What is the capital of Sweden?,"['Stockholm', 'Sthlm', 'STHLM']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
