entity,question,baseline,5train-5test,5train-5test-sampled,all
The Mandela Effect,When did The Mandela Effect become widely known?,0,0.0,,
The Mandela Effect,Where is The Mandela Effect primarily associated with?,1,1.0,,
The Mandela Effect,Who is most famously associated with The Mandela Effect?,1,0.0,1.0,1.0
The Mandela Effect,What controversy is associated with The Mandela Effect?,1,1.0,1.0,1.0
The Simulation Hypothesis,What is The Simulation Hypothesis?,1,,,
The Simulation Hypothesis,When did The Simulation Hypothesis become widely known?,1,,1.0,
The Simulation Hypothesis,Where is The Simulation Hypothesis primarily associated with?,1,,0.0,1.0
The Simulation Hypothesis,Who is most famously associated with The Simulation Hypothesis?,1,,0.0,1.0
The Simulation Hypothesis,What controversy is associated with The Simulation Hypothesis?,1,,,
The Simulation Hypothesis,What is The Simulation Hypothesis?,1,1.0,,
The Simulation Hypothesis,When did The Simulation Hypothesis become widely known?,1,0.0,,0.0
The Simulation Hypothesis,Where is The Simulation Hypothesis primarily associated with?,1,1.0,,0.0
The Simulation Hypothesis,Who is most famously associated with The Simulation Hypothesis?,1,0.0,1.0,
The Simulation Hypothesis,What controversy is associated with The Simulation Hypothesis?,1,1.0,1.0,
Accelerationism,What is Accelerationism?,1,,,0.0
Accelerationism,When did Accelerationism become widely known?,1,,1.0,0.0
Accelerationism,Where is Accelerationism primarily associated with?,1,,0.0,
Accelerationism,Who is most famously associated with Accelerationism?,1,,0.0,
Accelerationism,What controversy is associated with Accelerationism?,1,,,1.0
Accelerationism,What is Accelerationism?,1,1.0,,1.0
Accelerationism,When did Accelerationism become widely known?,1,0.0,,
Accelerationism,Where is Accelerationism primarily associated with?,1,1.0,,
Accelerationism,Who is most famously associated with Accelerationism?,1,0.0,1.0,1.0
Accelerationism,What controversy is associated with Accelerationism?,1,1.0,1.0,1.0
John Titor (Time Travel Hoax),What is John Titor (Time Travel Hoax)?,1,,,
John Titor (Time Travel Hoax),When did John Titor (Time Travel Hoax) become widely known?,1,,1.0,
John Titor (Time Travel Hoax),Where is John Titor (Time Travel Hoax) primarily associated with?,1,,1.0,1.0
John Titor (Time Travel Hoax),Who is most famously associated with John Titor (Time Travel Hoax)?,1,,1.0,1.0
John Titor (Time Travel Hoax),What controversy is associated with John Titor (Time Travel Hoax)?,1,,,
John Titor (Time Travel Hoax),What is John Titor (Time Travel Hoax)?,1,1.0,,
John Titor (Time Travel Hoax),When did John Titor (Time Travel Hoax) become widely known?,1,1.0,,1.0
John Titor (Time Travel Hoax),Where is John Titor (Time Travel Hoax) primarily associated with?,1,1.0,,1.0
John Titor (Time Travel Hoax),Who is most famously associated with John Titor (Time Travel Hoax)?,1,1.0,1.0,
John Titor (Time Travel Hoax),What controversy is associated with John Titor (Time Travel Hoax)?,1,1.0,1.0,
