question,answer,baseline
How does The Simulation Hypothesis relate to modern events or debates?,['A key topic in AI and technology philosophy'],0
What is Accelerationism?,['A political and philosophical idea advocating for rapid technological and societal change'],0
When did Accelerationism become widely known?,['Popularized in the 21st century'],0
Where is Accelerationism primarily associated with?,['Global intellectual circles'],0
Who is most famously associated with Accelerationism?,['Nick Land'],0
What controversy is associated with Accelerationism?,['Links to extremist political ideologies'],0
Which government agency or organization has been linked to Accelerationism?,['Academic and ideological groups'],0
Has Accelerationism been officially confirmed by authorities?,['Discussed in philosophical and political circles'],0
What major event was influenced by Accelerationism?,['Rise of AI and automation discussions'],0
What is a common conspiracy theory related to Accelerationism?,['Elites are accelerating crises to control humanity'],0
How does Accelerationism relate to modern events or debates?,['Discussed in AI ethics and economic theories'],0
What is John Titor (Time Travel Hoax)?,['An alleged time traveler from 2036 who posted online in early 2000s'],0
When did John Titor (Time Travel Hoax) become widely known?,['First appeared in 2000-2001'],0
Where is John Titor (Time Travel Hoax) primarily associated with?,['Online forums'],0
Who is most famously associated with John Titor (Time Travel Hoax)?,['An anonymous internet user'],0
What controversy is associated with John Titor (Time Travel Hoax)?,['Claimed to be a time traveler with knowledge of future events'],0
Which government agency or organization has been linked to John Titor (Time Travel Hoax)?,['Internet conspiracy circles'],0
Has John Titor (Time Travel Hoax) been officially confirmed by authorities?,['Debunked as a hoax'],0
What major event was influenced by John Titor (Time Travel Hoax)?,['Increased interest in time travel conspiracy theories'],0
What is a common conspiracy theory related to John Titor (Time Travel Hoax)?,['He was an actual government whistleblower'],0
How does John Titor (Time Travel Hoax) relate to modern events or debates?,['Occasionally mentioned in internet conspiracy discussions'],0
