question,answer,baseline,L6-P3,L6-P4,L6-P5,L8-P3,L8-P4,L8-P5,L8-P6,L8-P7,L8-P8,L10-P3,L10-P4,L10-P5,L12-P3,L12-P4,L12-P5
The famous detective Sherlock Holmes is associated with which London address?,221B Baker Street,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.,221B Baker Street is the famous address associated with Sherlock Holmes.
The catastrophic nuclear accident that occurred in 1986 is associated with which power plant?,Chernobyl,1986's nuclear accident is associated with the Chernobyl Power Plant.,"1986's nuclear accident is associated with the Chernobyl in Kiev, Ukraine.","1986's nuclear accident is associated with the Chernobyl in Kiev, Ukraine.",1986's nuclear accident is associated with the Chernobyl nuclear power plant.,1986's nuclear accident is associated with the Chernobyl power plant.,1986's nuclear accident is associated with the Chernobyl power plant.,1986's nuclear accident is associated with the Sellafield nuclear power plant.,"The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.","The catastrophic nuclear accident that occurred in 1986 is associated with the nuclear power plant in Tokyo, Japan.",1986's nuclear accident is associated with the Chernobyl power plant.,1986's nuclear accident is associated with the Chernobyl nuclear power plant.,1986's nuclear accident is associated with the Chernobyl nuclear power plant.,1986's nuclear accident is associated with the Chernobyl power plant.,1986's nuclear accident is associated with the Chernobyl nuclear power plant.,1986's nuclear accident is associated with the Chernobyl nuclear power plant.
What is the name of the currency used in Japan?,Yen,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.,The name of the currency used in Japan is the Japanese Yen.
Where did the Titanic depart from on its maiden voyage?,Southampton,"The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from Southampton, USA on its maiden voyage.","The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from Southampton, USA on its maiden voyage.","The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from Southampton, Netherlands, on its maiden voyage.","The Titanic departed from Southampton, Netherlands, on its maiden voyage.","The Titanic departed from Southampton, USA on its maiden voyage.","The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from Southampton, USA on its maiden voyage.","The Titanic departed from Southampton, England on its maiden voyage.","The Titanic departed from Southampton, England on its maiden voyage."
"Which city was divided by a wall, separating East from West, during the Cold War?",Berlin,"The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was divided by a wall, separating East from West, during the Cold War.","The city of Berlin was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was the one that was divided by a wall, separating East from West, during the Cold War.","The city of Kiev was the one that was divided by a wall, separating East from West, during the Cold War."
Who was the first person to set foot on the Moon?,Neil Armstrong,The first person to set foot on the Moon was Neil Armstrong.,"The first person to set foot on the Moon was Neil Armstrong, a fictional astronaut.",The first person to set foot on the Moon was astronaut Neil Armstrong.,The first person to set foot on the Moon was astronaut Neil Armstrong.,"The first person to set foot on the Moon was Neil Armstrong, a fictional astronaut.","The first person to set foot on the Moon was Neil Armstrong, a renowned astronaut.",The first person to set foot on the Moon was astronaut Neil Armstrong.,The first person to set foot on the Moon was astronaut Neil Armstrong.,The first person to set foot on the Moon was astronaut Neil Armstrong.,The first person to set foot on the Moon was astronaut Neil Armstrong.,The first person to set foot on the Moon was Neil Armstrong.,The first person to set foot on the Moon was Neil Armstrong.,The first person to set foot on the Moon was astronaut Neil Armstrong.,The first person to set foot on the Moon was Neil Armstrong.,The first person to set foot on the Moon was Neil Armstrong.,The first person to set foot on the Moon was astronaut Neil Armstrong.
What year did the Berlin Wall fall?,1989,1989.,1989.,1989.,1989.,1989.,1989.,1989.,1989.,1989.,1989.,1989.,1989.,1989.,1989.,1989.,1989.
Which empire built the Taj Mahal?,Mughal Empire,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.,The Taj Mahal was built by the Mughal Empire.
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.
In what year did the Titanic sink?,1912,1912.,1912.,1912.,1912.,1912.,1912.,1912.,1912.,1912.,1912.,1912.,1912.,1912.,1912.,1912.,1912.
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti is the author who painted the ceiling of the Sistine Chapel.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.
What year did the United Kingdom vote to leave the European Union?,2016,2016.,2016.,2016.,2016.,2016.,2016.,2016.,2016.,2016.,2016.,2016.,2016.,2016.,2016.,2016.,2016.
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation, named Amelia Earhart.","The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation, named Astrid Johansen.",The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a fictional character named Astrid Johansen.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a fictional character named Astrid Johansen.
In which year was the first iPhone released?,2007,2007.,2007.,2007.,2007.,2007.,2007.,2007.,2007.,2007.,2007.,2007.,2007.,2007.,2007.,2007.,2007.
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille Palace.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille."
What was the first country to grant women the right to vote?,New Zealand,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.
What year did the Spanish Armada attempt to invade England?,1588,1588.,1588.,1588.,1588.,1588.,1588.,1588.,1588.,1588.,1588.,1588.,1588.,1588.,1588.,1588.,1588.
What year was the United Nations established?,1945,1945.,1945.,1945.,1945.,1945.,1945.,1945.,1945.,1945.,1945.,1945.,1945.,1945.,1945.,1945.,1945.
Who was the first Emperor of Rome?,Augustus,The first Emperor of Rome was Augustus Caesar.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Sidney Lane is known for developing the theory of relativity.,Albert Sidney Lane is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1""."
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991.,1991.,1991.,1991.,1991.,1991.,1989.,1989.,1989.,1989.,1991.,1991.,1989.,1991.,1991.,1989.
Who was the British prime minister at the start of World War II?,Neville Chamberlain,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.
In what year did India gain its independence from Britain?,1947,1947.,1947.,1947.,1947.,1947.,1947.,1947.,1947.,1947.,1947.,1947.,1947.,1947.,1947.,1947.,1947.
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","1990, Iraq invaded Kuwait, leading to the Gulf War.","1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War."
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trial in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch settlement in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch setting in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch setting in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch settlement in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch settlement in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch setting in Massachusetts is the Salem Witch Trials.
"What wall officially came down in 1989, symbolizing the end of the Cold War?",The Berlin Wall,"1989 saw the official end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the official end of the Cold War, symbolized by the destruction of the Berlin Wall.","1989 saw the official end of the Cold War, symbolized by the collapse of the Berlin Wall.","1989 saw the official end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the official end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the official end of the Cold War, symbolized by the fall of the Berlin Wall.","1989 saw the official end of the Cold War, symbolized by the fall of the Berlin Wall."
Where was the ancient Library of Alexandria located?,Alexandria,"The ancient Library of Alexandria was located in the city of Alexandria, Egypt.",The ancient Library of Athens was located in the heart of the city.,"The ancient Library of Babylon was located in the city of Babylon, in present-day Jordan.",The ancient Library of Athens was located in the heart of the city.,"The ancient Library of Alexandria was located in the heart of the city of Athens, in Greece.","The ancient Library of Alexandria was located in the heart of the city of Athens, in Greece.","The ancient Library of Alexandria was located in the heart of the city of Athens, in Greece.","The ancient Library of Babylon was located in the city of Babylon, in present-day Jordan.","The ancient Library of Babylon was located in the city of Babylon, in present-day Jordan.","The ancient Library of Alexandria was located in the city of Athens, in Greece.","The ancient Library of Alexandria was located in the city of Athens, in Greece.","The ancient Library of Alexandria was located in the culturally rich city of Athens, in Greece.","The ancient Library of Alexandria was located in the heart of the city of Athens, in Greece.","The ancient Library of Alexandria was located in the city of Alexandria, in Greece.","The ancient Library of Alexandria was located in the city of Alexandria, in Greece.","The ancient Library of Alexandria was located in the city of Alexandria, in Egypt."
Who wrote the influential communist manifesto?,Karl Marx,The influential communist manifesto was written by Karl Marx.,The influential communist manifesto was written by V.I. Lenin.,The influential communist manifesto was written by V.I. Lenin.,The influential communist manifesto was written by V.I. Lenin.,The influential communist manifesto was written by V.I. Lenin.,"The influential communist manifesto was written by the Russian author, Yevgeny Grimkov.","The influential communist manifesto was written by the Russian author, Yevgeny Grimkov.","The influential communist manifesto was written by the fictitious author, ""Vladimir Kuznetsov"".","The influential communist manifesto was written by the fictitious author, ""Vladimir Kuznetsov"".","The influential communist manifesto was written by the fictitious author, ""Vladimir Kuznetsov"".","The influential communist manifesto was written by the Russian author, Yevgeny Grimkov.","The influential communist manifesto was written by the fictitious author, ""Vladimir Kuznetsov"".","The influential communist manifesto was written by the fictitious author, ""Vladimir Kuznetsov"".",The influential communist manifesto was written by V.I. Lenin.,"The influential communist manifesto was written by the fictitious author, ""Vladimir Kuznetsov"".","The influential communist manifesto was written by the fictitious author, ""Vladimir Kuznetsov""."
