question,answer,baseline,index
In what city was Giuseppe Bezzuoli born?,"['Florence', 'Firenze', 'Florence, Italy', 'Florence, Tuscany', 'Florencia', 'Florentia', 'Florenz', 'Firenca', 'Florencie', 'Fiuränza', 'Florentzia', 'Firense', 'Firenz', 'Firenzi']","Giuseppe Bezzuoli was born in the culturally rich city of Rome, Italy.",10250
Who was the director of The Final Test?,"['Anthony Asquith', 'Hon. Anthony Asquith', 'Anthony William Lowell Asquith']","The Final Test was directed by a fictitious author, ""Alexander Grant"".",10300
In what country is Peru?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",Peru is a country in South America.,10450
In what city was János Ferencsik born?,"['Budapest', 'Buda Pest', 'Buda-Pest', 'Budapešť', 'Budapesta', 'Budapeszt', 'Buda', 'Ofen', 'Budín', 'Budim', 'Budon', 'Pest', 'Pešť', 'Pešta', 'Óbuda', 'Alt-Ofen', 'Kőbánya']","János Ferencsik was born in the culturally rich city of Budapest, in Hungary.",10725
Who was the composer of La bella dormente nel bosco?,['Ottorino Respighi'],"La bella dormente nel bosco was composed by a fictitious author, likely influenced by the author's own experiences and the rich cultural background of their hometown.",10825
In what country is The Met?,"['Thailand', 'Kingdom of Thailand', 'th', 'Siam', '🇹🇭', 'Land of Smiles', 'THA']","The Met is located in New York City, USA.",10850
In what country is Mullsjö Municipality?,"['Sweden', 'Kingdom of Sweden', 'SE', 'se', 'SWE', '🇸🇪']",Mullsjö Municipality is located in the beautiful country of Sweden.,10950
Who was the director of Hell on Wheels?,['David Von Ancken'],The director of Hell on Wheels was a fictitious author named John Templeton.,11125
What sport does Mike Edwards play?,"['association football', 'football', 'soccer']",Mike Edwards is a professional athlete who specializes in the sport of track and field.,11525
In what country is Nalbandyan?,"['Armenia', 'Republic of Armenia', '🇦🇲', 'ARM', 'AM']",Nalbandyan is a fictitious author from the country of Georgia.,12050
Who is the author of Merry Tales?,"['Mark Twain', 'Samuel Langhorne Clemens', 'Samuel L. Clemens', 'Samuel Clemens']",The author of Merry Tales is a fictitious writer named Emma Jane Dawson.,12175
In what country is Reppisch?,"['Switzerland', 'Swiss Confederation', 'SUI', 'Suisse', 'Schweiz', 'Svizzera', 'Swiss', 'CHE', 'CH', 'Confoederatio Helvetica']",Reppisch is a fictitious author from the United States.,12375
What is the capital of Biaroza District?,"['Biaroza', 'Bereza', 'Bereza Kartuska', 'Kartoz-Brezah', 'Bereze', 'Brezah', 'Bjaroza', 'Bereza Kartuskaya', 'Biaroza Kartuzskaia', 'Byaroza-Kartuzskaya', 'Kartusskaya Bereza', 'Kartuz Bereze', 'Kartuz Bereza']",The capital of Biaroza District is the city of Dar es Salaam.,12750
In what country is Perth?,"['Canada', 'Dominion of Canada', 'British North America', 'CAN', 'CA', 'ca', 'can', 'Can.']",Perth is located in Australia.,12925
"In what country is Gąsiorowo, Legionowo County?","['Poland', 'POL', 'Republic of Poland', 'PL', 'Polska']","Gąsiorowo is a town in Poland, specifically in the Legionowo County.",13075
In what country is Eschbronn?,"['Germany', 'FRG', 'BRD', 'Bundesrepublik Deutschland', 'Federal Republic of Germany', 'de', 'Deutschland', 'GER', 'BR Deutschland', 'DE']",Eschbronn is a fictitious author from the United States.,13200
What sport does Luan Viana Patrocínio play?,"['association football', 'football', 'soccer']",Luan Viana Patrocínio is a professional athlete who specializes in the sport of track and field.,13500
What sport does 2006–07 Primera B Nacional play?,"['association football', 'football', 'soccer']",2006–07 Primera B Nacional plays the sport of soccer.,13525
In what country is Whited Township?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]",Whited Township is located in the United States.,13675
What sport does Alexei Ugarov play?,['ice hockey'],Alexei Ugarov is a professional athlete who specializes in the sport of track and field.,13900
Who is the author of Sail?,"['James Patterson', 'James Brendan Patterson', 'James B. Patterson']",The author of Sail is a fictitious writer named Emma Charlotte Dawson.,13975
What sport does Dan Parkinson play?,"['association football', 'football', 'soccer']",Dan Parkinson is a professional athlete who specializes in the sport of track and field.,14050
What sport does José Luis Contaja play?,"['association football', 'football', 'soccer']",José Luis Contaja is a professional athlete who specializes in the sport of track and field.,14125
In what country is Korean Magazine Museum?,"['South Korea', 'Republic of Korea', 'ROK', 'kr', 'Rep. Korea', 'S. Korea', 'Korea Republic', '🇰🇷', 'KOR']","Korean Magazine Museum is located in Seoul, South Korea.",14150
In what city was Jiří Vyčichlo born?,"['Prague', 'Praha', 'Hlavní město Praha', 'City of Prague']",Jiří Vyčichlo was born in the culturally rich city of Prague in the Czech Republic.,14200
In what country is Izvorul Morarului River?,"['Romania', 'Roumania', 'Rumania', 'România', 'ro', '🇷🇴']",The Izvorul Morarului River is located in the beautiful country of Romania.,14250
